,Env,Hybrid
108,DEH1_2022,GEMN-0097_PHJ89_0011/LH244
109,DEH1_2022,GEMN-0097_PHJ89_0012/LH244
110,DEH1_2022,GEMN-0097_PHJ89_0013/LH244
111,DEH1_2022,GEMN-0097_PHJ89_0016/LH244
112,DEH1_2022,GEMN-0097_PHJ89_0020/LH244
113,DEH1_2022,GEMN-0097_PHJ89_0023/LH244
114,DEH1_2022,GEMN-0097_PHJ89_0025/LH244
115,DEH1_2022,GEMN-0097_PHJ89_0026/LH244
116,DEH1_2022,GEMN-0097_PHJ89_0027/LH244
117,DEH1_2022,GEMN-0097_PHJ89_0028/LH244
118,DEH1_2022,GEMN-0097_PHJ89_0029/LH244
119,DEH1_2022,GEMN-0097_PHJ89_0033/LH244
120,DEH1_2022,GEMN-0097_PHJ89_0036/LH244
121,DEH1_2022,GEMN-0097_PHJ89_0039/LH244
122,DEH1_2022,GEMN-0097_PHK76_0002/LH244
123,DEH1_2022,GEMN-0097_PHK76_0003/LH244
124,DEH1_2022,GEMN-0097_PHK76_0007/LH244
125,DEH1_2022,GEMN-0097_PHK76_0009/LH244
126,DEH1_2022,GEMN-0097_PHK76_0010/LH244
127,DEH1_2022,GEMN-0097_PHK76_0011/LH244
128,DEH1_2022,GEMN-0097_PHK76_0012/LH244
129,DEH1_2022,GEMN-0097_PHK76_0014/LH244
130,DEH1_2022,GEMN-0097_PHK76_0015/LH244
131,DEH1_2022,GEMN-0097_PHK76_0016/LH244
132,DEH1_2022,GEMN-0097_PHK76_0017/LH244
133,DEH1_2022,GEMN-0097_PHK76_0018/LH244
134,DEH1_2022,GEMN-0097_PHK76_0021/LH244
135,DEH1_2022,GEMN-0097_PHK76_0023/LH244
136,DEH1_2022,GEMN-0097_PHK76_0029/LH244
137,DEH1_2022,GEMN-0097_PHK76_0032/LH244
138,DEH1_2022,GEMN-0097_PHK76_0036/LH244
139,DEH1_2022,GEMN-0097_PHK76_0037/LH244
140,DEH1_2022,GEMN-0097_PHK76_0038/LH244
141,DEH1_2022,GEMN-0097_PHK76_0039/LH244
142,DEH1_2022,GEMN-0097_PHK76_0041/LH244
143,DEH1_2022,GEMN-0097_PHK76_0048/LH244
144,DEH1_2022,GEMN-0097_PHK76_0053/LH244
145,DEH1_2022,GEMN-0097_PHK76_0055/LH244
146,DEH1_2022,GEMN-0097_PHK76_0060/LH244
147,DEH1_2022,GEMN-0097_PHN46_0001/LH244
148,DEH1_2022,GEMN-0097_PHN46_0002/LH244
149,DEH1_2022,GEMN-0097_PHN46_0003/LH244
150,DEH1_2022,GEMN-0097_PHN46_0004/LH244
151,DEH1_2022,GEMN-0097_PHN46_0005/LH244
152,DEH1_2022,GEMN-0097_PHN46_0006/LH244
153,DEH1_2022,GEMN-0097_PHN46_0007/LH244
154,DEH1_2022,GEMN-0097_PHN46_0008/LH244
155,DEH1_2022,GEMN-0097_PHN46_0009/LH244
156,DEH1_2022,GEMN-0097_PHN46_0010/LH244
157,DEH1_2022,GEMN-0097_PHN46_0011/LH244
158,DEH1_2022,GEMN-0097_PHN46_0014/LH244
159,DEH1_2022,GEMN-0097_PHN46_0016/LH244
160,DEH1_2022,GEMN-0097_PHN46_0018/LH244
161,DEH1_2022,GEMN-0097_PHP02_0001/LH244
162,DEH1_2022,GEMN-0097_PHP02_0002/LH244
163,DEH1_2022,GEMN-0097_PHP02_0003/LH244
164,DEH1_2022,GEMN-0097_PHP02_0005/LH244
165,DEH1_2022,GEMN-0097_PHP02_0006/LH244
166,DEH1_2022,GEMN-0097_PHP02_0007/LH244
167,DEH1_2022,GEMN-0098/LH244
168,DEH1_2022,GEMN-0104/LH244
169,DEH1_2022,GEMN-0124/LH244
170,DEH1_2022,GEMN-0135/LH244
171,DEH1_2022,GEMN-0144/LH244
172,DEH1_2022,GEMN-0157/LH244
173,DEH1_2022,GEMN-0177/LH244
174,DEH1_2022,GEMN-0178/LH244
175,DEH1_2022,GEMN-0187/LH244
176,DEH1_2022,GEMN-0192/LH244
177,DEH1_2022,GEMN-0192_LH212HT_0001/LH244
178,DEH1_2022,GEMN-0192_LH212HT_0002/LH244
179,DEH1_2022,GEMN-0192_LH212HT_0006/LH244
180,DEH1_2022,GEMN-0192_LH212HT_0007/LH244
181,DEH1_2022,GEMN-0192_LH212HT_0008/LH244
182,DEH1_2022,GEMN-0192_LH212HT_0009/LH244
183,DEH1_2022,GEMN-0192_LH212HT_0010/LH244
184,DEH1_2022,GEMN-0192_LH212HT_0011/LH244
185,DEH1_2022,GEMN-0192_LH212HT_0012/LH244
186,DEH1_2022,GEMN-0192_LH212HT_0013/LH244
187,DEH1_2022,GEMN-0192_LH212HT_0014/LH244
188,DEH1_2022,GEMN-0192_LH212HT_0015/LH244
189,DEH1_2022,GEMN-0192_LH212HT_0018/LH244
190,DEH1_2022,GEMN-0192_LH212HT_0021/LH244
191,DEH1_2022,GEMN-0192_LH212HT_0023/LH244
192,DEH1_2022,GEMN-0192_PHJ89_0001/LH244
193,DEH1_2022,GEMN-0192_PHJ89_0002/LH244
194,DEH1_2022,GEMN-0192_PHK76_0002/LH244
195,DEH1_2022,GEMN-0192_PHK76_0004/LH244
196,DEH1_2022,GEMN-0192_PHK76_0005/LH244
197,DEH1_2022,GEMN-0192_PHK76_0006/LH244
198,DEH1_2022,GEMN-0192_PHK76_0007/LH244
199,DEH1_2022,GEMN-0192_PHK76_0008/LH244
200,DEH1_2022,GEMN-0192_PHK76_0009/LH244
201,DEH1_2022,GEMN-0192_PHK76_0010/LH244
202,DEH1_2022,GEMN-0192_PHK76_0011/LH244
203,DEH1_2022,GEMN-0192_PHK76_0012/LH244
204,DEH1_2022,GEMN-0192_PHK76_0013/LH244
205,DEH1_2022,GEMN-0192_PHK76_0014/LH244
206,DEH1_2022,GEMN-0192_PHK76_0015/LH244
207,DEH1_2022,GEMN-0192_PHK76_0016/LH244
208,DEH1_2022,GEMN-0192_PHK76_0017/LH244
209,DEH1_2022,GEMN-0192_PHK76_0018/LH244
210,DEH1_2022,GEMN-0192_PHK76_0019/LH244
211,DEH1_2022,GEMN-0192_PHK76_0021/LH244
212,DEH1_2022,GEMN-0192_PHK76_0025/LH244
213,DEH1_2022,GEMN-0192_PHK76_0027/LH244
214,DEH1_2022,GEMN-0192_PHK76_0028/LH244
215,DEH1_2022,GEMN-0192_PHK76_0030/LH244
216,DEH1_2022,GEMN-0192_PHK76_0032/LH244
217,DEH1_2022,GEMN-0192_PHK76_0033/LH244
218,DEH1_2022,GEMN-0192_PHK76_0035/LH244
219,DEH1_2022,GEMN-0192_PHK76_0036/LH244
220,DEH1_2022,GEMN-0192_PHK76_0037/LH244
221,DEH1_2022,GEMN-0192_PHK76_0041/LH244
222,DEH1_2022,GEMN-0192_PHK76_0044/LH244
223,DEH1_2022,GEMN-0192_PHK76_0045/LH244
224,DEH1_2022,GEMN-0192_PHN46_0001/LH244
225,DEH1_2022,GEMN-0192_PHN46_0002/LH244
226,DEH1_2022,GEMN-0192_PHN46_0003/LH244
227,DEH1_2022,GEMN-0192_PHN46_0004/LH244
228,DEH1_2022,GEMN-0192_PHN46_0005/LH244
229,DEH1_2022,GEMN-0192_PHN46_0006/LH244
230,DEH1_2022,GEMN-0192_PHN46_0007/LH244
231,DEH1_2022,GEMN-0192_PHN46_0008/LH244
232,DEH1_2022,GEMN-0192_PHN46_0009/LH244
233,DEH1_2022,GEMN-0192_PHN46_0010/LH244
234,DEH1_2022,GEMN-0192_PHN46_0011/LH244
235,DEH1_2022,GEMN-0192_PHN46_0012/LH244
236,DEH1_2022,GEMN-0192_PHN46_0014/LH244
237,DEH1_2022,GEMN-0192_PHN46_0015/LH244
238,DEH1_2022,GEMN-0192_PHN46_0017/LH244
239,DEH1_2022,GEMN-0192_PHN46_0018/LH244
240,DEH1_2022,GEMN-0192_PHN46_0019/LH244
241,DEH1_2022,GEMN-0192_PHN46_0020/LH244
242,DEH1_2022,GEMN-0192_PHN46_0021/LH244
243,DEH1_2022,GEMN-0192_PHN46_0025/LH244
244,DEH1_2022,GEMN-0192_PHP02_0001/LH244
245,DEH1_2022,GEMN-0192_PHP02_0003/LH244
246,DEH1_2022,GEMN-0207/LH244
247,DEH1_2022,GEMN-0225/LH244
248,DEH1_2022,GEMN-0225_LH212HT_0002/LH244
249,DEH1_2022,GEMN-0225_LH212HT_0003/LH244
250,DEH1_2022,GEMN-0225_LH212HT_0005/LH244
251,DEH1_2022,GEMN-0225_LH212HT_0006/LH244
252,DEH1_2022,GEMN-0225_LH212HT_0008/LH244
253,DEH1_2022,GEMN-0225_LH212HT_0009/LH244
254,DEH1_2022,GEMN-0225_LH212HT_0015/LH244
255,DEH1_2022,GEMN-0225_LH212HT_0017/LH244
256,DEH1_2022,GEMN-0225_LH212HT_0021/LH244
257,DEH1_2022,GEMN-0225_LH212HT_0023/LH244
258,DEH1_2022,GEMN-0225_LH212HT_0024/LH244
259,DEH1_2022,GEMN-0225_LH212HT_0025/LH244
260,DEH1_2022,GEMN-0225_LH212HT_0029/LH244
261,DEH1_2022,GEMN-0225_LH212HT_0036/LH244
262,DEH1_2022,GEMN-0225_LH212HT_0038/LH244
263,DEH1_2022,GEMN-0225_LH212HT_0040/LH244
264,DEH1_2022,GEMN-0225_LH212HT_0043/LH244
265,DEH1_2022,GEMN-0225_PHJ89_0001/LH244
266,DEH1_2022,GEMN-0225_PHJ89_0002/LH244
267,DEH1_2022,GEMN-0225_PHJ89_0003/LH244
268,DEH1_2022,GEMN-0225_PHJ89_0004/LH244
269,DEH1_2022,GEMN-0225_PHJ89_0005/LH244
270,DEH1_2022,GEMN-0225_PHJ89_0006/LH244
271,DEH1_2022,GEMN-0225_PHJ89_0008/LH244
272,DEH1_2022,GEMN-0225_PHJ89_0009/LH244
273,DEH1_2022,GEMN-0225_PHJ89_0013/LH244
274,DEH1_2022,GEMN-0225_PHJ89_0014/LH244
275,DEH1_2022,GEMN-0225_PHJ89_0015/LH244
276,DEH1_2022,GEMN-0225_PHJ89_0016/LH244
277,DEH1_2022,GEMN-0225_PHJ89_0017/LH244
278,DEH1_2022,GEMN-0225_PHJ89_0018/LH244
279,DEH1_2022,GEMN-0225_PHJ89_0019/LH244
280,DEH1_2022,GEMN-0225_PHJ89_0020/LH244
281,DEH1_2022,GEMN-0225_PHJ89_0021/LH244
282,DEH1_2022,GEMN-0225_PHJ89_0022/LH244
283,DEH1_2022,GEMN-0225_PHJ89_0025/LH244
284,DEH1_2022,GEMN-0225_PHJ89_0026/LH244
285,DEH1_2022,GEMN-0225_PHJ89_0027/LH244
286,DEH1_2022,GEMN-0225_PHJ89_0032/LH244
287,DEH1_2022,GEMN-0225_PHK76_0001/LH244
288,DEH1_2022,GEMN-0225_PHK76_0002/LH244
289,DEH1_2022,GEMN-0225_PHK76_0003/LH244
290,DEH1_2022,GEMN-0225_PHK76_0004/LH244
291,DEH1_2022,GEMN-0225_PHK76_0005/LH244
292,DEH1_2022,GEMN-0225_PHK76_0007/LH244
293,DEH1_2022,GEMN-0225_PHK76_0008/LH244
294,DEH1_2022,GEMN-0225_PHK76_0010/LH244
295,DEH1_2022,GEMN-0225_PHK76_0012/LH244
296,DEH1_2022,GEMN-0225_PHK76_0013/LH244
297,DEH1_2022,GEMN-0225_PHK76_0014/LH244
298,DEH1_2022,GEMN-0225_PHK76_0018/LH244
299,DEH1_2022,GEMN-0225_PHK76_0019/LH244
300,DEH1_2022,GEMN-0225_PHK76_0021/LH244
301,DEH1_2022,GEMN-0225_PHK76_0022/LH244
302,DEH1_2022,GEMN-0225_PHK76_0027/LH244
303,DEH1_2022,GEMN-0225_PHK76_0028/LH244
304,DEH1_2022,GEMN-0225_PHK76_0031/LH244
305,DEH1_2022,GEMN-0225_PHK76_0032/LH244
306,DEH1_2022,GEMN-0225_PHN46_0001/LH244
307,DEH1_2022,GEMN-0225_PHN46_0002/LH244
308,DEH1_2022,GEMN-0225_PHN46_0003/LH244
309,DEH1_2022,GEMN-0225_PHN46_0004/LH244
310,DEH1_2022,GEMN-0225_PHN46_0005/LH244
311,DEH1_2022,GEMN-0225_PHN46_0006/LH244
312,DEH1_2022,GEMN-0225_PHN46_0008/LH244
313,DEH1_2022,GEMN-0225_PHN46_0021/LH244
314,DEH1_2022,GEMN-0225_PHP02_0001/LH244
315,DEH1_2022,GEMN-0225_PHP02_0002/LH244
316,DEH1_2022,GEMN-0225_PHP02_0003/LH244
317,DEH1_2022,GEMN-0225_PHP02_0005/LH244
318,DEH1_2022,GEMN-0225_PHP02_0006/LH244
319,DEH1_2022,GEMN-0225_PHP02_0007/LH244
320,DEH1_2022,GEMN-0225_PHP02_0008/LH244
321,DEH1_2022,GEMN-0225_PHP02_0009/LH244
322,DEH1_2022,GEMN-0225_PHP02_0010/LH244
323,DEH1_2022,GEMN-0225_PHP02_0012/LH244
324,DEH1_2022,GEMN-0225_PHP02_0013/LH244
325,DEH1_2022,GEMN-0225_PHP02_0014/LH244
326,DEH1_2022,GEMN-0225_PHP02_0015/LH244
327,DEH1_2022,GEMN-0225_PHP02_0017/LH244
328,DEH1_2022,GEMN-0232/LH244
329,DEH1_2022,GEMN-0238/LH244
330,DEH1_2022,GEMN-0257/LH244
331,DEH1_2022,GEMN-0270/LH244
332,DEH1_2022,GEMN-0271/LH244
333,DEH1_2022,GEMN-0287/LH244
334,DEH1_2022,LH185/LH244
335,DEH1_2022,LH195/PHZ51
336,DEH1_2022,LH212HT/LH244
337,DEH1_2022,LH213/LH244
338,DEH1_2022,LH216/LH244
339,DEH1_2022,LH244/MO17
340,DEH1_2022,LH244/PHK76
341,DEH1_2022,LH244/PHZ51
342,DEH1_2022,LH283/LH244
343,DEH1_2022,LH287/LH244
344,DEH1_2022,LH82/LH244
345,DEH1_2022,M162W/LH244
346,DEH1_2022,M37W/LH244
347,DEH1_2022,MBUB/LH244
348,DEH1_2022,MM501D/LH244
349,DEH1_2022,MO17_PHW30-008-(2N)-01/LH244
350,DEH1_2022,MO17_PHW30-200-(2N)-02/LH244
351,DEH1_2022,MO17_PHW30-309-(2N)-01/LH244
352,DEH1_2022,MO44/LH244
353,DEH1_2022,MO44_LH145_0127/LH244
354,DEH1_2022,MO44_LH145_0138/LH244
355,DEH1_2022,MO44_PHG47_0072/LH244
356,DEH1_2022,MO44_PHG47_0125/LH244
357,DEH1_2022,MO44_PHW65_0025/LH244
358,DEH1_2022,MO44_PHW65_0035/LH244
359,DEH1_2022,MOG/LH244
360,DEH1_2022,NC350/LH244
361,DEH1_2022,NC358/LH244
362,DEH1_2022,NC360/LH244
363,DEH1_2022,NC366/LH244
364,DEH1_2022,NC374/LH244
365,DEH1_2022,NC378/LH244
366,DEH1_2022,NC388/LH244
367,DEH1_2022,NC398/LH244
368,DEH1_2022,NC406/LH244
369,DEH1_2022,NC428/LH244
370,DEH1_2022,NC438/LH244
371,DEH1_2022,NC454/LH244
372,DEH1_2022,NC456/LH244
373,DEH1_2022,NC458/LH244
374,DEH1_2022,NC512/LH244
375,DEH1_2022,NC528/LH244
376,DEH1_2022,NC530/LH244
377,DEH1_2022,NC540/LH244
378,DEH1_2022,NC542/LH244
379,DEH1_2022,NC546/LH244
380,DEH1_2022,NC548/LH244
381,DEH1_2022,NKH8431/LH244
382,DEH1_2022,OH43/LH244
383,DEH1_2022,PH207/LH244
384,DEH1_2022,PH24E/LH244
385,DEH1_2022,PHAP9/LH244
386,DEH1_2022,PHB47/LH244
387,DEH1_2022,PHB47/PHN82
388,DEH1_2022,PHB47/PHZ51
389,DEH1_2022,PHG29/PHG47
390,DEH1_2022,PHG35/LH244
391,DEH1_2022,PHG47/LH244
392,DEH1_2022,PHJ40/PHAJ0
393,DEH1_2022,PHJ89/LH244
394,DEH1_2022,PHJ90/LH244
395,DEH1_2022,PHK56/LH244
396,DEH1_2022,PHKE6/LH244
397,DEH1_2022,PHN11/LH244
398,DEH1_2022,PHN11_LH145_0005/LH244
399,DEH1_2022,PHN11_LH145_0028/LH244
400,DEH1_2022,PHN11_LH145_0085/LH244
401,DEH1_2022,PHN11_OH43_0001/LH244
402,DEH1_2022,PHN11_OH43_0075/LH244
403,DEH1_2022,PHN11_OH43_0088/LH244
404,DEH1_2022,PHN11_PHG47_0251/LH244
405,DEH1_2022,PHN11_PHG47_0287/LH244
406,DEH1_2022,PHN11_PHW65_0312/LH244
407,DEH1_2022,PHN11_PHW65_0323/LH244
408,DEH1_2022,PHN11_PHW65_0359/LH244
409,DEH1_2022,PHN46/LH244
410,DEH1_2022,PHP02/LH244
411,DEH1_2022,PHP55/LH244
412,DEH1_2022,PHR03/LH244
413,DEH1_2022,PHRE1/PHTD5
414,DEH1_2022,PHW30/LH244
415,DEH1_2022,PHW30_MO17-010-(2N)-01/LH244
416,DEH1_2022,PHW30_MO17-032-(2N)-01/LH244
417,DEH1_2022,PHW30_MO17-095-(2N)-01/LH244
418,DEH1_2022,PHW30_MO17-129-(2N)-01/LH244
419,DEH1_2022,PHW30_MO17-178-(2N)-01/LH244
420,DEH1_2022,PHW30_MO17-234-(2N)-02/LH244
421,DEH1_2022,PHW30_MO17-299-(2N)-01/LH244
422,DEH1_2022,PHW52/PHM49
423,DEH1_2022,PHW52/PHN82
424,DEH1_2022,PHW65/LH244
425,DEH1_2022,PHW65_MOG_0137/LH244
426,DEH1_2022,PHW65_MOG_0176/LH244
427,DEH1_2022,PHW65_MOG_0271/LH244
428,DEH1_2022,TX777/LH195
429,DEH1_2022,TX779/LH195
430,DEH1_2022,W10001_0003/LH244
431,DEH1_2022,W10001_0007/LH244
432,DEH1_2022,W10001_0008/LH244
433,DEH1_2022,W10001_0009/LH244
434,DEH1_2022,W10001_0010/LH244
435,DEH1_2022,W10001_0011/LH244
436,DEH1_2022,W10001_0012/LH244
437,DEH1_2022,W10001_0013/LH244
438,DEH1_2022,W10001_0014/LH244
439,DEH1_2022,W10001_0016/LH244
440,DEH1_2022,W10001_0017/LH244
441,DEH1_2022,W10001_0021/LH244
442,DEH1_2022,W10001_0022/LH244
443,DEH1_2022,W10001_0023/LH244
444,DEH1_2022,W10001_0030/LH244
445,DEH1_2022,W10001_0031/LH244
446,DEH1_2022,W10001_0033/LH244
447,DEH1_2022,W10001_0036/LH244
448,DEH1_2022,W10001_0040/LH244
449,DEH1_2022,W10001_0047/LH244
450,DEH1_2022,W10002_0002/LH244
451,DEH1_2022,W10005_0029/LH244
452,DEH1_2022,W10005_0107/LH244
453,DEH1_2022,W10005_0111/LH244
454,DEH1_2022,W10005_0147/LH244
455,DEH1_2022,W10005_0220/LH244
456,DEH1_2022,W10010_0018/LH244
457,DEH1_2022,W10010_0032/LH244
458,DEH1_2022,W10010_0084/LH244
459,DEH1_2022,W10010_0093/LH244
460,DEH1_2022,W10010_0101/LH244
461,DEH1_2022,W10010_0118/LH244
462,DEH1_2022,W10010_0124/LH244
463,DEH1_2022,W10010_0148/LH244
464,DEH1_2022,W10010_0170/LH244
465,DEH1_2022,W10010_0188/LH244
466,DEH1_2022,W10010_0189/LH244
467,DEH1_2022,W10010_0279/LH244
468,DEH1_2022,W10010_0294/LH244
469,DEH1_2022,W10010_0310/LH244
470,DEH1_2022,W10010_0311/LH244
471,DEH1_2022,W10010_0337/LH244
472,DEH1_2022,W10010_0346/LH244
473,DEH1_2022,W10010_0358/LH244
474,DEH1_2022,W10010_0366/LH244
475,DEH1_2022,W10010_0381/LH244
476,DEH1_2022,W10010_0464/LH244
477,GAH1_2022,B14A/H95
478,GAH1_2022,B14A/MO17
479,GAH1_2022,B14A/OH43
480,GAH1_2022,B37/H95
481,GAH1_2022,B37/MO17
482,GAH1_2022,B37/OH43
483,GAH1_2022,B73/MO17
484,GAH1_2022,B73/PHM49
485,GAH1_2022,B73/PHN82
486,GAH1_2022,B73/TX779
487,GAH1_2022,B97/LH244
488,GAH1_2022,BGEM-0039-N/LH244
489,GAH1_2022,BGEM-0063-N/LH244
490,GAH1_2022,BGEM-0089-N/LH244
491,GAH1_2022,BGEM-0124-N/LH244
492,GAH1_2022,BGEM-0129-N/LH244
493,GAH1_2022,CG119/CG108
494,GAH1_2022,CG44/CGR01
495,GAH1_2022,DK3IIH6/LH244
496,GAH1_2022,DK78010/LH244
497,GAH1_2022,F42/H95
498,GAH1_2022,F42/MO17
499,GAH1_2022,F42/OH43
500,GAH1_2022,GEMN-0096/LH244
501,GAH1_2022,GEMN-0096_LH212HT_0001/LH244
502,GAH1_2022,GEMN-0096_LH212HT_0002/LH244
503,GAH1_2022,GEMN-0096_LH212HT_0004/LH244
504,GAH1_2022,GEMN-0096_LH212HT_0005/LH244
505,GAH1_2022,GEMN-0096_LH212HT_0006/LH244
506,GAH1_2022,GEMN-0096_LH212HT_0009/LH244
507,GAH1_2022,GEMN-0096_LH212HT_0010/LH244
508,GAH1_2022,GEMN-0096_LH212HT_0012/LH244
509,GAH1_2022,GEMN-0096_LH212HT_0013/LH244
510,GAH1_2022,GEMN-0096_LH212HT_0017/LH244
511,GAH1_2022,GEMN-0096_LH212HT_0021/LH244
512,GAH1_2022,GEMN-0096_PHJ89_0001/LH244
513,GAH1_2022,GEMN-0096_PHJ89_0002/LH244
514,GAH1_2022,GEMN-0096_PHJ89_0006/LH244
515,GAH1_2022,GEMN-0096_PHJ89_0007/LH244
516,GAH1_2022,GEMN-0096_PHJ89_0009/LH244
517,GAH1_2022,GEMN-0096_PHJ89_0010/LH244
518,GAH1_2022,GEMN-0096_PHJ89_0011/LH244
519,GAH1_2022,GEMN-0096_PHJ89_0012/LH244
