Hybrid,Parent1,Parent2,train,test,vcf
AGRO NAUT,AGRO NAUT,NA,TRUE,FALSE,FALSE
AH83/DK3IIH6,AH83,DK3IIH6,TRUE,FALSE,TRUE
B103/LH82,B103,LH82,TRUE,FALSE,TRUE
B103/PHB47,B103,PHB47,TRUE,FALSE,TRUE
B103/PHZ51,B103,PHZ51,TRUE,FALSE,TRUE
B104/DK3IIH6,B104,DK3IIH6,TRUE,FALSE,TRUE
B104/LH82,B104,LH82,TRUE,FALSE,TRUE
B104/PHZ51,B104,PHZ51,TRUE,FALSE,TRUE
B105/DK3IIH6,B105,DK3IIH6,TRUE,FALSE,TRUE
B105/LH82,B105,LH82,TRUE,FALSE,TRUE
B105/PHZ51,B105,PHZ51,TRUE,FALSE,TRUE
B106/LH82,B106,LH82,TRUE,FALSE,TRUE
B106/PHZ51,B106,PHZ51,TRUE,FALSE,TRUE
B109/DK3IIH6,B109,DK3IIH6,TRUE,FALSE,TRUE
B109/LH82,B109,LH82,TRUE,FALSE,TRUE
B109/PHZ51,B109,PHZ51,TRUE,FALSE,TRUE
B110/DK3IIH6,B110,DK3IIH6,TRUE,FALSE,TRUE
B111/DK3IIH6,B111,DK3IIH6,TRUE,FALSE,TRUE
B111/LH82,B111,LH82,TRUE,FALSE,TRUE
B111/PHZ51,B111,PHZ51,TRUE,FALSE,TRUE
B118/PHB47,B118,PHB47,TRUE,FALSE,TRUE
B119/DK3IIH6,B119,DK3IIH6,TRUE,FALSE,TRUE
B119/LH82,B119,LH82,TRUE,FALSE,TRUE
B119/PHZ51,B119,PHZ51,TRUE,FALSE,TRUE
B14/DK3IIH6,B14,DK3IIH6,TRUE,FALSE,TRUE
B14A/C103,B14A,C103,TRUE,FALSE,TRUE
B14A/DK3IIH6,B14A,DK3IIH6,TRUE,FALSE,TRUE
B14A/H95,B14A,H95,TRUE,TRUE,TRUE
B14A/LH82,B14A,LH82,TRUE,FALSE,TRUE
B14A/MO17,B14A,MO17,TRUE,TRUE,TRUE
B14A/OH43,B14A,OH43,TRUE,TRUE,TRUE
B2/DK3IIH6,B2,DK3IIH6,TRUE,FALSE,TRUE
B37/C103,B37,C103,TRUE,FALSE,TRUE
B37/H95,B37,H95,TRUE,TRUE,TRUE
B37/MO17,B37,MO17,TRUE,TRUE,TRUE
B37/OH43,B37,OH43,TRUE,TRUE,TRUE
B37/PHZ51,B37,PHZ51,TRUE,FALSE,TRUE
B68/LH82,B68,LH82,TRUE,FALSE,TRUE
B68/PHZ51,B68,PHZ51,TRUE,FALSE,TRUE
B73/DK3IIH6,B73,DK3IIH6,TRUE,FALSE,TRUE
B73/LH162,B73,LH162,TRUE,FALSE,TRUE
B73/MO17,B73,MO17,TRUE,TRUE,TRUE
B73/OH7B,B73,OH7B,TRUE,FALSE,TRUE
B73/PHG35,B73,PHG35,TRUE,FALSE,TRUE
B73/PHK76,B73,PHK76,TRUE,TRUE,TRUE
B73/PHM49,B73,PHM49,TRUE,TRUE,TRUE
B73/PHN82,B73,PHN82,TRUE,TRUE,TRUE
B73/PHP02,B73,PHP02,TRUE,FALSE,TRUE
B73/PHZ51,B73,PHZ51,TRUE,TRUE,TRUE
B73/TX205,B73,TX205,TRUE,FALSE,TRUE
B73/TX6252,B73,TX6252,TRUE,FALSE,TRUE
B73/TX775,B73,TX775,TRUE,FALSE,TRUE
B73/TX777,B73,TX777,TRUE,FALSE,TRUE
B73/TX779,B73,TX779,TRUE,TRUE,TRUE
B73_NC230-032-1-1-1-1/LH195,B73_NC230-032-1-1-1-1,LH195,TRUE,FALSE,TRUE
B73_NC230-040-1-1-1-1/LH185,B73_NC230-040-1-1-1-1,LH185,TRUE,FALSE,TRUE
B73_NC230-040-1-1-1-1/LH198,B73_NC230-040-1-1-1-1,LH198,TRUE,FALSE,TRUE
B73_NC230-041-1-1-1-1/LH185,B73_NC230-041-1-1-1-1,LH185,TRUE,FALSE,TRUE
B73_NC230-041-1-1-1-1/LH195,B73_NC230-041-1-1-1-1,LH195,TRUE,FALSE,TRUE
B73_NC230-041-1-1-1-1/LH198,B73_NC230-041-1-1-1-1,LH198,TRUE,FALSE,TRUE
B73_NC230-041-1-1-1-1/PB80,B73_NC230-041-1-1-1-1,PB80,TRUE,FALSE,TRUE
B73_NC230-059-1-1-1-1/LH185,B73_NC230-059-1-1-1-1,LH185,TRUE,FALSE,TRUE
B73_NC230-059-1-1-1-1/LH198,B73_NC230-059-1-1-1-1,LH198,TRUE,FALSE,TRUE
B73_NC230-126-1-1-1-1/LH195,B73_NC230-126-1-1-1-1,LH195,TRUE,FALSE,TRUE
B73_NC230-127-1-1-1-1/LH195,B73_NC230-127-1-1-1-1,LH195,TRUE,FALSE,TRUE
B73_NC230-127-1-1-1-1/PB80,B73_NC230-127-1-1-1-1,PB80,TRUE,FALSE,TRUE
B73_NC230-128-1-1-1-1/LH195,B73_NC230-128-1-1-1-1,LH195,TRUE,FALSE,TRUE
B73_NC230-128-1-1-1-1/PB80,B73_NC230-128-1-1-1-1,PB80,TRUE,FALSE,TRUE
B73_NC230-129-1-1-1-1/LH185,B73_NC230-129-1-1-1-1,LH185,TRUE,FALSE,TRUE
B73_NC230-129-1-1-1-1/LH195,B73_NC230-129-1-1-1-1,LH195,TRUE,FALSE,TRUE
B73_NC230-129-1-1-1-1/LH198,B73_NC230-129-1-1-1-1,LH198,TRUE,FALSE,TRUE
B73_PHG39-1/LH82,B73_PHG39-1,LH82,TRUE,FALSE,TRUE
B73_PHG39-1/PHZ51,B73_PHG39-1,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-10/LH82,B73_PHG39-10,LH82,TRUE,FALSE,TRUE
B73_PHG39-10/PHZ51,B73_PHG39-10,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-11/LH82,B73_PHG39-11,LH82,TRUE,FALSE,TRUE
B73_PHG39-11/PHZ51,B73_PHG39-11,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-12/LH82,B73_PHG39-12,LH82,TRUE,FALSE,TRUE
B73_PHG39-12/PHZ51,B73_PHG39-12,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-13/LH82,B73_PHG39-13,LH82,TRUE,FALSE,TRUE
B73_PHG39-13/PHZ51,B73_PHG39-13,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-14/PHZ51,B73_PHG39-14,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-15/LH82,B73_PHG39-15,LH82,TRUE,FALSE,TRUE
B73_PHG39-15/PHZ51,B73_PHG39-15,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-16/LH82,B73_PHG39-16,LH82,TRUE,FALSE,TRUE
B73_PHG39-16/PHZ51,B73_PHG39-16,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-17/LH82,B73_PHG39-17,LH82,TRUE,FALSE,TRUE
B73_PHG39-17/PHZ51,B73_PHG39-17,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-18/LH82,B73_PHG39-18,LH82,TRUE,FALSE,TRUE
B73_PHG39-18/PHZ51,B73_PHG39-18,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-19/LH82,B73_PHG39-19,LH82,TRUE,FALSE,TRUE
B73_PHG39-19/PHZ51,B73_PHG39-19,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-2/LH82,B73_PHG39-2,LH82,TRUE,FALSE,TRUE
B73_PHG39-2/PHZ51,B73_PHG39-2,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-20/LH82,B73_PHG39-20,LH82,TRUE,FALSE,TRUE
B73_PHG39-20/PHZ51,B73_PHG39-20,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-21/LH82,B73_PHG39-21,LH82,TRUE,FALSE,TRUE
B73_PHG39-21/PHZ51,B73_PHG39-21,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-22/LH82,B73_PHG39-22,LH82,TRUE,FALSE,TRUE
B73_PHG39-22/PHZ51,B73_PHG39-22,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-23/LH82,B73_PHG39-23,LH82,TRUE,FALSE,TRUE
B73_PHG39-23/PHZ51,B73_PHG39-23,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-24/LH82,B73_PHG39-24,LH82,TRUE,FALSE,TRUE
B73_PHG39-24/PHZ51,B73_PHG39-24,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-25/LH82,B73_PHG39-25,LH82,TRUE,FALSE,TRUE
B73_PHG39-25/PHZ51,B73_PHG39-25,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-3/LH82,B73_PHG39-3,LH82,TRUE,FALSE,TRUE
B73_PHG39-3/PHZ51,B73_PHG39-3,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-4/LH82,B73_PHG39-4,LH82,TRUE,FALSE,TRUE
B73_PHG39-4/PHZ51,B73_PHG39-4,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-5/PHZ51,B73_PHG39-5,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-6/LH82,B73_PHG39-6,LH82,TRUE,FALSE,TRUE
B73_PHG39-6/PHZ51,B73_PHG39-6,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-7/LH82,B73_PHG39-7,LH82,TRUE,FALSE,TRUE
B73_PHG39-7/PHZ51,B73_PHG39-7,PHZ51,TRUE,FALSE,TRUE
B73_PHG39-8/LH82,B73_PHG39-8,LH82,TRUE,FALSE,TRUE
B73_PHG39-8/PHZ51,B73_PHG39-8,PHZ51,TRUE,FALSE,TRUE
B76/LH82,B76,LH82,TRUE,FALSE,TRUE
B76/PHZ51,B76,PHZ51,TRUE,FALSE,TRUE
B79/LH82,B79,LH82,TRUE,FALSE,TRUE
B79/PHZ51,B79,PHZ51,TRUE,FALSE,TRUE
B84/DK3IIH6,B84,DK3IIH6,TRUE,FALSE,TRUE
B97/LH195,B97,LH195,TRUE,FALSE,TRUE
B97/LH244,B97,LH244,FALSE,TRUE,TRUE
B97/LH82,B97,LH82,TRUE,FALSE,TRUE
B97/PHB47,B97,PHB47,TRUE,FALSE,TRUE
BAROS,BAROS,NA,TRUE,FALSE,FALSE
BECK 5140HR,BECK 5140HR,NA,TRUE,FALSE,FALSE
BECK 6046,BECK 6046,NA,TRUE,FALSE,FALSE
BGEM-0001-N/LH195,BGEM-0001-N,LH195,TRUE,FALSE,TRUE
BGEM-0003-N/LH195,BGEM-0003-N,LH195,TRUE,FALSE,TRUE
BGEM-0005-N/LH195,BGEM-0005-N,LH195,TRUE,FALSE,TRUE
BGEM-0039-N/LH195,BGEM-0039-N,LH195,TRUE,FALSE,TRUE
BGEM-0039-N/LH244,BGEM-0039-N,LH244,FALSE,TRUE,TRUE
BGEM-0040-N/LH195,BGEM-0040-N,LH195,TRUE,FALSE,TRUE
BGEM-0046-N/LH195,BGEM-0046-N,LH195,TRUE,FALSE,TRUE
BGEM-0063-N/LH195,BGEM-0063-N,LH195,TRUE,FALSE,TRUE
BGEM-0063-N/LH244,BGEM-0063-N,LH244,FALSE,TRUE,TRUE
BGEM-0066-N/LH195,BGEM-0066-N,LH195,TRUE,FALSE,TRUE
BGEM-0088-N/LH195,BGEM-0088-N,LH195,TRUE,FALSE,FALSE
BGEM-0089-N/LH195,BGEM-0089-N,LH195,TRUE,FALSE,TRUE
BGEM-0089-N/LH244,BGEM-0089-N,LH244,FALSE,TRUE,TRUE
BGEM-0102-N/LH195,BGEM-0102-N,LH195,TRUE,FALSE,TRUE
BGEM-0107-N/LH195,BGEM-0107-N,LH195,TRUE,FALSE,TRUE
BGEM-0110-N/LH195,BGEM-0110-N,LH195,TRUE,FALSE,TRUE
BGEM-0120-N/LH195,BGEM-0120-N,LH195,TRUE,FALSE,FALSE
BGEM-0121-N/LH195,BGEM-0121-N,LH195,TRUE,FALSE,TRUE
BGEM-0122-N/LH195,BGEM-0122-N,LH195,TRUE,FALSE,FALSE
BGEM-0124-N/LH195,BGEM-0124-N,LH195,TRUE,FALSE,TRUE
BGEM-0124-N/LH244,BGEM-0124-N,LH244,FALSE,TRUE,TRUE
BGEM-0125-N/LH195,BGEM-0125-N,LH195,TRUE,FALSE,TRUE
BGEM-0126-N/LH195,BGEM-0126-N,LH195,TRUE,FALSE,TRUE
BGEM-0129-N/LH195,BGEM-0129-N,LH195,TRUE,FALSE,TRUE
BGEM-0129-N/LH244,BGEM-0129-N,LH244,FALSE,TRUE,TRUE
BGEM-0130-N/LH195,BGEM-0130-N,LH195,TRUE,FALSE,TRUE
BGEM-0140-N/LH195,BGEM-0140-N,LH195,TRUE,FALSE,TRUE
BGEM-0141-N/LH195,BGEM-0141-N,LH195,TRUE,FALSE,TRUE
BGEM-0143-N/LH195,BGEM-0143-N,LH195,TRUE,FALSE,TRUE
BGEM-0144-N/LH195,BGEM-0144-N,LH195,TRUE,FALSE,TRUE
BGEM-0145-N/LH195,BGEM-0145-N,LH195,TRUE,FALSE,TRUE
BGEM-0151-N/LH195,BGEM-0151-N,LH195,TRUE,FALSE,TRUE
BGEM-0152-N/LH195,BGEM-0152-N,LH195,TRUE,FALSE,TRUE
BGEM-0157-N/LH195,BGEM-0157-N,LH195,TRUE,FALSE,TRUE
BGEM-0174-N/LH195,BGEM-0174-N,LH195,TRUE,FALSE,TRUE
BGEM-0182-N/LH195,BGEM-0182-N,LH195,TRUE,FALSE,TRUE
BGEM-0184-N/LH195,BGEM-0184-N,LH195,TRUE,FALSE,TRUE
BGEM-0192-N/LH195,BGEM-0192-N,LH195,TRUE,FALSE,TRUE
BGEM-0193-N/LH195,BGEM-0193-N,LH195,TRUE,FALSE,TRUE
BGEM-0202-N/LH195,BGEM-0202-N,LH195,TRUE,FALSE,TRUE
BGEM-0203-N/LH195,BGEM-0203-N,LH195,TRUE,FALSE,TRUE
BGEM-0204-N/LH195,BGEM-0204-N,LH195,TRUE,FALSE,TRUE
BGEM-0205-N/LH195,BGEM-0205-N,LH195,TRUE,FALSE,TRUE
BGEM-0206-N/LH195,BGEM-0206-N,LH195,TRUE,FALSE,TRUE
BGEM-0207-N/LH195,BGEM-0207-N,LH195,TRUE,FALSE,TRUE
BGEM-0209-N/LH195,BGEM-0209-N,LH195,TRUE,FALSE,TRUE
BGEM-0210-N/LH195,BGEM-0210-N,LH195,TRUE,FALSE,TRUE
BGEM-0211-N/LH195,BGEM-0211-N,LH195,TRUE,FALSE,TRUE
BGEM-0215-N/LH195,BGEM-0215-N,LH195,TRUE,FALSE,TRUE
BGEM-0227-N/LH195,BGEM-0227-N,LH195,TRUE,FALSE,TRUE
BGEM-0228-N/LH195,BGEM-0228-N,LH195,TRUE,FALSE,TRUE
BGEM-0235-N/LH195,BGEM-0235-N,LH195,TRUE,FALSE,TRUE
BGEM-0239-N/LH195,BGEM-0239-N,LH195,TRUE,FALSE,TRUE
BGEM-0240-N/LH195,BGEM-0240-N,LH195,TRUE,FALSE,TRUE
BGEM-0242-N/LH195,BGEM-0242-N,LH195,TRUE,FALSE,TRUE
BGEM-0246-N/LH195,BGEM-0246-N,LH195,TRUE,FALSE,TRUE
BGEM-0248-N/LH195,BGEM-0248-N,LH195,TRUE,FALSE,TRUE
BGEM-0253-N/LH195,BGEM-0253-N,LH195,TRUE,FALSE,TRUE
BGEM-0256-N/LH195,BGEM-0256-N,LH195,TRUE,FALSE,TRUE
BGEM-0259-N/LH195,BGEM-0259-N,LH195,TRUE,FALSE,TRUE
BGEM-0260-N/LH195,BGEM-0260-N,LH195,TRUE,FALSE,FALSE
BH8477SS,BH8477SS,NA,TRUE,FALSE,FALSE
BH8900VIP3111 2016,BH8900VIP3111 2016,NA,TRUE,FALSE,FALSE
BSSSC0_001/DK3IIH6,BSSSC0_001,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_002/DK3IIH6,BSSSC0_002,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_002/LH82,BSSSC0_002,LH82,TRUE,FALSE,TRUE
BSSSC0_002/PHZ51,BSSSC0_002,PHZ51,TRUE,FALSE,TRUE
BSSSC0_003/DK3IIH6,BSSSC0_003,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_005/DK3IIH6,BSSSC0_005,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_008/DK3IIH6,BSSSC0_008,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_008/LH82,BSSSC0_008,LH82,TRUE,FALSE,TRUE
BSSSC0_008/PHZ51,BSSSC0_008,PHZ51,TRUE,FALSE,TRUE
BSSSC0_009/DK3IIH6,BSSSC0_009,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_010/PHZ51,BSSSC0_010,PHZ51,TRUE,FALSE,TRUE
BSSSC0_012/DK3IIH6,BSSSC0_012,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_012/PHZ51,BSSSC0_012,PHZ51,TRUE,FALSE,TRUE
BSSSC0_015/DK3IIH6,BSSSC0_015,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_017/DK3IIH6,BSSSC0_017,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_019/LH82,BSSSC0_019,LH82,TRUE,FALSE,TRUE
BSSSC0_019/PHZ51,BSSSC0_019,PHZ51,TRUE,FALSE,TRUE
BSSSC0_020/DK3IIH6,BSSSC0_020,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_020/PHZ51,BSSSC0_020,PHZ51,TRUE,FALSE,TRUE
BSSSC0_021/LH82,BSSSC0_021,LH82,TRUE,FALSE,TRUE
BSSSC0_023/LH82,BSSSC0_023,LH82,TRUE,FALSE,TRUE
BSSSC0_023/PHZ51,BSSSC0_023,PHZ51,TRUE,FALSE,TRUE
BSSSC0_024/DK3IIH6,BSSSC0_024,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_026/DK3IIH6,BSSSC0_026,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_028/LH82,BSSSC0_028,LH82,TRUE,FALSE,TRUE
BSSSC0_028/PHZ51,BSSSC0_028,PHZ51,TRUE,FALSE,TRUE
BSSSC0_029/DK3IIH6,BSSSC0_029,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_029/PHZ51,BSSSC0_029,PHZ51,TRUE,FALSE,TRUE
BSSSC0_031/LH82,BSSSC0_031,LH82,TRUE,FALSE,TRUE
BSSSC0_031/PHZ51,BSSSC0_031,PHZ51,TRUE,FALSE,TRUE
BSSSC0_032/LH82,BSSSC0_032,LH82,TRUE,FALSE,TRUE
BSSSC0_032/PHZ51,BSSSC0_032,PHZ51,TRUE,FALSE,TRUE
BSSSC0_033/DK3IIH6,BSSSC0_033,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_038/DK3IIH6,BSSSC0_038,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_038/LH82,BSSSC0_038,LH82,TRUE,FALSE,TRUE
BSSSC0_038/PHZ51,BSSSC0_038,PHZ51,TRUE,FALSE,TRUE
BSSSC0_044/LH82,BSSSC0_044,LH82,TRUE,FALSE,TRUE
BSSSC0_044/PHZ51,BSSSC0_044,PHZ51,TRUE,FALSE,TRUE
BSSSC0_047/LH82,BSSSC0_047,LH82,TRUE,FALSE,TRUE
BSSSC0_047/PHZ51,BSSSC0_047,PHZ51,TRUE,FALSE,TRUE
BSSSC0_048/DK3IIH6,BSSSC0_048,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_048/LH82,BSSSC0_048,LH82,TRUE,FALSE,TRUE
BSSSC0_048/PHZ51,BSSSC0_048,PHZ51,TRUE,FALSE,TRUE
BSSSC0_052/LH82,BSSSC0_052,LH82,TRUE,FALSE,TRUE
BSSSC0_052/PHZ51,BSSSC0_052,PHZ51,TRUE,FALSE,TRUE
BSSSC0_054/DK3IIH6,BSSSC0_054,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_057/DK3IIH6,BSSSC0_057,DK3IIH6,TRUE,FALSE,TRUE
BSSSC0_060/DK3IIH6,BSSSC0_060,DK3IIH6,TRUE,FALSE,TRUE
CG102/CG60,CG102,CG60,TRUE,FALSE,TRUE
CG102/DK3IIH6,CG102,DK3IIH6,TRUE,FALSE,TRUE
CG102/LH82,CG102,LH82,TRUE,FALSE,TRUE
CG102/PHZ51,CG102,PHZ51,TRUE,FALSE,TRUE
CG104/CG102,CG104,CG102,TRUE,FALSE,TRUE
CG104/LH198,CG104,LH198,TRUE,FALSE,TRUE
CG104/LH82,CG104,LH82,TRUE,FALSE,TRUE
CG104/PHB47,CG104,PHB47,TRUE,FALSE,TRUE
CG104/PHZ51,CG104,PHZ51,TRUE,FALSE,TRUE
CG105/CG102,CG105,CG102,TRUE,FALSE,TRUE
CG105/PHB47,CG105,PHB47,TRUE,FALSE,TRUE
CG105/PHZ51,CG105,PHZ51,TRUE,FALSE,TRUE
CG106/DK3IIH6,CG106,DK3IIH6,TRUE,FALSE,TRUE
CG106/PHB47,CG106,PHB47,TRUE,FALSE,TRUE
CG106/PHZ51,CG106,PHZ51,TRUE,FALSE,TRUE
CG108/CG102,CG108,CG102,TRUE,FALSE,TRUE
CG108/CG110,CG108,CG110,TRUE,FALSE,TRUE
CG108/CG111,CG108,CG111,TRUE,FALSE,TRUE
CG108/CGR01,CG108,CGR01,TRUE,FALSE,TRUE
CG108/CGR03,CG108,CGR03,TRUE,FALSE,TRUE
CG108/LH162,CG108,LH162,TRUE,FALSE,TRUE
CG108/LH195,CG108,LH195,TRUE,FALSE,TRUE
CG108/LH198,CG108,LH198,TRUE,FALSE,TRUE
CG108/LH82,CG108,LH82,TRUE,FALSE,TRUE
CG108/PHB47,CG108,PHB47,TRUE,FALSE,TRUE
CG108/PHZ51,CG108,PHZ51,TRUE,FALSE,TRUE
CG110/LH82,CG110,LH82,TRUE,FALSE,TRUE
CG110/PHB47,CG110,PHB47,TRUE,FALSE,TRUE
CG111/PHB47,CG111,PHB47,TRUE,FALSE,TRUE
CG118/CG44,CG118,CG44,TRUE,FALSE,TRUE
CG118/CGR01,CG118,CGR01,TRUE,FALSE,TRUE
CG118/CGR03,CG118,CGR03,TRUE,FALSE,TRUE
CG118/LH198,CG118,LH198,TRUE,FALSE,TRUE
CG118/LH82,CG118,LH82,TRUE,FALSE,TRUE
CG118/PHZ51,CG118,PHZ51,TRUE,FALSE,TRUE
CG119/CG102,CG119,CG102,TRUE,FALSE,TRUE
CG119/CG108,CG119,CG108,TRUE,TRUE,TRUE
CG119/CG44,CG119,CG44,TRUE,FALSE,TRUE
CG119/LH198,CG119,LH198,TRUE,FALSE,TRUE
CG119/LH82,CG119,LH82,TRUE,FALSE,TRUE
CG119/PHZ51,CG119,PHZ51,TRUE,FALSE,TRUE
CG120/CG102,CG120,CG102,TRUE,FALSE,TRUE
CG120/CG123,CG120,CG123,TRUE,FALSE,TRUE
CG120/DK3IIH6,CG120,DK3IIH6,TRUE,FALSE,TRUE
CG120/LH162,CG120,LH162,TRUE,FALSE,TRUE
CG120/LH185,CG120,LH185,TRUE,FALSE,TRUE
CG120/LH198,CG120,LH198,TRUE,FALSE,TRUE
CG120/LH82,CG120,LH82,TRUE,FALSE,TRUE
CG120/PHK05,CG120,PHK05,TRUE,FALSE,TRUE
CG120/PHK56,CG120,PHK56,TRUE,FALSE,TRUE
CG120/PHR25,CG120,PHR25,TRUE,FALSE,TRUE
CG120/PHW03,CG120,PHW03,TRUE,FALSE,TRUE
CG120/PHZ51,CG120,PHZ51,TRUE,FALSE,TRUE
CG121/CG102,CG121,CG102,TRUE,FALSE,TRUE
CG121/LH198,CG121,LH198,TRUE,FALSE,TRUE
CG121/LH82,CG121,LH82,TRUE,FALSE,TRUE
CG121/PHZ51,CG121,PHZ51,TRUE,FALSE,TRUE
CG122/CG102,CG122,CG102,TRUE,FALSE,TRUE
CG122/PHB47,CG122,PHB47,TRUE,FALSE,TRUE
CG122/PHZ51,CG122,PHZ51,TRUE,FALSE,TRUE
CG123/CG102,CG123,CG102,TRUE,FALSE,TRUE
CG123/LH145,CG123,LH145,TRUE,FALSE,TRUE
CG123/LH185,CG123,LH185,TRUE,FALSE,TRUE
CG123/PHB47,CG123,PHB47,TRUE,FALSE,TRUE
CG123/PHHV4,CG123,PHHV4,TRUE,FALSE,TRUE
CG123/PHRE1,CG123,PHRE1,TRUE,FALSE,TRUE
CG123/S8324,CG123,S8324,TRUE,FALSE,TRUE
CG124/CG120,CG124,CG120,TRUE,FALSE,TRUE
CG124/LH145,CG124,LH145,TRUE,FALSE,TRUE
CG124/PHB47,CG124,PHB47,TRUE,FALSE,TRUE
CG124/PHHV4,CG124,PHHV4,TRUE,FALSE,TRUE
CG124/PHRE1,CG124,PHRE1,TRUE,FALSE,TRUE
CG124/S8324,CG124,S8324,TRUE,FALSE,TRUE
CG125/PHB47,CG125,PHB47,TRUE,FALSE,TRUE
CG125/PHZ51,CG125,PHZ51,TRUE,FALSE,TRUE
CG126/PHB47,CG126,PHB47,TRUE,FALSE,TRUE
CG127/PHB47,CG127,PHB47,TRUE,FALSE,TRUE
CG127/PHZ51,CG127,PHZ51,TRUE,FALSE,TRUE
CG44/CG102,CG44,CG102,TRUE,FALSE,TRUE
CG44/CG110,CG44,CG110,TRUE,FALSE,TRUE
CG44/CGR01,CG44,CGR01,TRUE,TRUE,TRUE
CG44/CGR03,CG44,CGR03,TRUE,FALSE,TRUE
