"Year","Env","Experiment_Code","Treatment","City","Farm","Field","Trial_ID (Assigned by collaborator for internal reference)","Soil_Taxonomic_ID and horizon description, if known","Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)","Weather_Station_Latitude (in decimal numbers NOT DMS)","Weather_Station_Longitude (in decimal numbers NOT DMS)","Date_weather_station_placed","Date_weather_station_removed","Previous_Crop","Pre-plant_tillage_method(s)","In-season_tillage_method(s)","Type_of_planter (fluted cone; belt cone; air planter)","System_Determining_Moisture","Pounds_Needed_Soil_Moisture","Latitude_of_Field_Corner_#1 (lower left)","Longitude_of_Field_Corner_#1 (lower left)","Latitude_of_Field_Corner_#2 (lower right)","Longitude_of_Field_Corner_#2 (lower right)","Latitude_of_Field_Corner_#3 (upper right)","Longitude_of_Field_Corner_#3 (upper right)","Latitude_of_Field_Corner_#4 (upper left)","Longitude_of_Field_Corner_#4 (upper left)","Cardinal_Heading_Pass_1","Issue/comment_#1","Issue/comment_#2","Issue/comment_#3","Issue/comment_#4","Issue/comment_#5","Issue/comment_#6","Comments"
"2017","COH1_2017","COH1","Drought","Fort Collins","ARDEC","400A","COH1",,"14289",40.649055,-104.99986,"5/1/17","11/20/17","sugar beet",,,"belt cone","Juniper Classic Grain Gauge","5-6.5",40.647855,-105.000257,40.647855,-104.999281,40.649146,-104.999314,40.649145,-105.000278,180,"Sugar beets caused soil compaction on dry side of field, causing dry treatment corn to suffer nutrient deficiency. Kickstarter was applied on June 28 to mitigate the problem","Labor was short during stand count. Stand count spanned over two weeks. As a result, our dry side stand count data (namely, root and stalk lodging) do not as accurately represent the state of the field at harvest as the wet side data","Due to heavy phenotyping (leaf water content and root pulling force) during the week of July 31, we did not take flowering notes on August 1, August 2, and August 3. The dry side was retroactively phenotyped for flowering and silking, but the wet side was not.Ê","Moisture levels were very high at harvest and we were forced to hand harvest 56 plots throughout the field. We dried these samples down in ovens and took all harvest phenotypes at that point.Ê",,,
"2021","COH1_2021","COH1","Drought","Fort Collins","ARDEC","800","COH1",,"14289",40.6498,-104.9955,"7/19/21","11/4/21","wheat",,,,,,40.6476,-104.9957,40.6476,-104.9936,40.6497,-104.9937,40.6498,-104.9957,180,,,,,,,
"2014","DEH1_2014","DEH1",,"Georgetown","Elbert N. & Ann V. Carvel Research & Education Center","27AB",,,"9079",38.637405,-75.204048,,,"soybean","Conventional",,"Air planter",,,,,,,,,,,,,,,,,,
"2015","DEH1_2015","DEH1",,"Georgetown",,,,,"9079",38.62932,-75.465731,"5/1/15","9/14/15","Lima beans followed by rye cover crop","Conventional",,"air planter","Almaco seed specter II","3.5",38.629977,-75.465973,38.628821,-75.465055,38.629867,-75.466279,38.628762,-75.465463,149,,,,,,,
"2016","DEH1_2016","DEH1",,"Georgetown","Davis Farms",,"DEH1",,"9079",38.648453,-75.45161,"4/28/16","9/14/16","soybean",,"Disked, chisel plow & final disking","air planter","Almaco seed specter II","3.5",38.64865,-75.45159,38.64878,-75.45188,38.64781,-75.45277,38.64757,-75.428,243,"On 6-14-2016 the battery for the weather station was found dead. Data was missing from 6-6-2016 to 6-14-2016. Battery was replaced on 6-14-2016","On 8-26-2016 the battery for the weather station was found dead. Data was missing from 8-21-2016 to 8-26-2016. Battery was replaced on 8-26-2016",,,,,
"2017","DEH1_2017","DEH1","Standard","Georgetown","Davis Farm",,,,"9079",38.67123,-75.433096,"4/28/17","9/21/17","corn","disked, chisel plow and field cultivator",,"air planter","HarvestMaster Classic GrainGage","5",38.669557,-75.433932,38.669434,-75.433613,38.671009,-75.432751,38.671033,-75.433162,7e-04,,,,,,,
"2018","DEH1_2018","DEH1","Standard","Georgetown","Davis Farms",,,,"9079",38.649238,-75.450214,"5/3/18","9/20/18","corn","disked, ripped, field cultivator",,"air planter","HarvestMaster Classic GrainGage from Juniper Systems",,38.649088,-75.450174,38.648837,-75.44943,38.650624,-75.44828,38.65803,-75.448661,49,"High moisture affected the entire field and some plots were flooded and the plots were not harvested","Some plots were heavily affected by rodents (deer)",,,,,
"2019","DEH1_2019","DEH1","Standard","Georgetown","Davis Farms",,,,"9079",38.6712,-75.4331,"5/9/19","9/12/19","soybean","Disked, chisil, disk",,"air planter","HarvestMaster Classic GrainGage from Juniper Systms",,38.6698,-75.4341,38.6692,-75.4336,38.6718,-75.4325,38.6719,-75.4327,37,"Rodents damaged some plots","Lost few plots due to technical issue during planting (GPS lost connection) and some rows were overlapped","http://www.deos.udel.edu",,,,
"2020","DEH1_2020","DEH1","Standard","Newark","Carvel Research & Education Center","Dill 4",,,"22053",38.630142,-75.466098,"5/15/20","9/15/20","soybean",,"Chisel plow, disc, field cultivator","air planter","HarvestMaster Classic GrainGage from Juniper Systems","5",38.630059,-75.466066,38.629741,-75.466677,38.627882,-75.465236,38.628242,-75.464662,158,"Heavy stalk and root lodging from tropical storm wind Hurrican Isaias on August 4","Additional weather data source: http://www.deos.udel.edu",,,,,
"2021","DEH1_2021","DEH1","Standard","Georgetown","Carvel Research & Education Center","25",,,"22053",38.635,-75.455,"4/30/21",,"soybean","Chisel plow, disk, field cultivator",,"air planter","HarvestMaster Classic GrainGage","5",38.635,-75.458,38.634,-75.457,38.636,-75.455,38.636,-75.455,56,"Link to additional weahter source: http://www.deos.udel.edu","Storm from Hurricane IADA have some effect for the stalk lodging","Stalk and root lodging ",,,,
"2014","WIH1_2014","G2FWI-HYB",,"Madison","West Madison Agricultural Research Station","M1400",,,"8648",43.05706111,-89.53098611,,,"soybean","Fall Chisel",,"air",,,,,,,,,,,,,,,,,,
"2014","GAH1_2014","GAH1",,"Tifton","USDA - Bellflower experimental farm","18",,,"8427",31.506544,-83.555016,,,"cotton","conventional",,"fluted cone",,,,,,,,,,,,,,,,,,
"2015","GAH1_2015","GAH1",,"Tifton",,,,,"8427",31.505161,-83.55518,"4/1/15","8/26/15","corn","Conventional",,"fluted cone","ALMACO","2.7",31.506502,-83.554962,31.506521,-83.555359,31.505027,-83.555155,31.505034,-83.554904,180,,,,,,,
"2016","GAH1_2016","GAH1","Standard","Tifton","USDA - Bellflower experimental farm","11",,"Tifton loamy sand/Dothan loamy sand","8427",31.50743,-83.558661,"4/12/16","8/24/16","peanut","conventional","plow","fluted cone","Almaco","2",31.50822,-83.559182,31.507852,-83.559413,31.507663,-83.557656,31.507935,-83.55794,121,"Field is not rectangular; it is curved to contour to the landscape.",,,,,,
"2017","GAH1_2017","GAH1","Standard","Tifton","USDA - Bellflower experimental farm","11",,"Tifton loamy sand","8427",31.507325,-83.558322,"4/4/17","9/8/17","corn","harrowed, rototilled","cultivation","belt cone","ALMACO","2",31.508253,-83.559239,31.507864,-83.559422,31.507681,-83.557598,31.507979,-83.55792,125,"Rain almost 3 inches day after planting, soil crusted before emergeance","April 12, 2017, rotorary hoed to break crust for better emergance",,,,,
"2018","GAH1_2018","GAH1","Standard","Tifton","USDA - Bellflower experimental farm","18",,"Tifton loamy sand","8427",31.505203,-83.555172,"3/29/18","8/31/18","peanut","Ripper Bed, rototill","cultivator","belt cone","ALMACO","2.5",31.506548,-83.55493,31.506534,-83.555365,31.50524,-83.555381,31.504979,-83.554925,180,"The test weight load cell on the combine was not keeping a constant reading throughout the field",,,,,,
"2019","GAH1_2019","GAH1","Standard","Tifton","USDA - Bellflower experimental farm","18",,"Tifton loamy sand","8427",31.505203,-83.555172,"3/27/19","8/16/19","corn","Ripper Bed, Rototill",,"belt cone","ALMACO","2.5",31.506548,-83.55493,31.506534,-83.555365,31.50524,-83.555381,31.504979,-83.554925,180,"http://weather.uga.edu/mindex.php?content=calculator&variable=CC&site=TIFTON",,,,,,
"2020","GAH1_2020","GAH1","Standard","Tifton","USDA - Bellflower experimental farm","11",,"Tifton loamy sand","8427",31.507281,-83.558275,"4/2/20","8/21/20","peanut","harrow, ripper bed, rototill","none","belt cone","ALMACO LRX","2.5",31.508254,-83.559249,31.507862,-83.559443,31.507801,-83.557503,31.507993,-83.557873,135,"Field is not rectangular; it is curved.",,,,,,
"2021","GAH1_2021","GAH1","Standard","Tifton","Belflower","11",,"Tifton loamy sand","8427",31.507281,-83.558275,"4/9/21","8/20/21","corn","Harrow, ripper bed, rototill","None","belt cone","ALMACO LRX","2.5",31.508254,-83.559249,31.507862,-83.559443,31.507801,-83.557503,31.507993,-83.557873,135,"Link to additional weahter source: Georgia Weather - Automated Environmental Monitoring Network Page (uga.edu) http://weather.uga.edu/mindex.php?variable=HI&site=TIFTON","Planted 3/25/2021",,,,,
"2016","GAH2_2016","GAH2","Standard","Watkinsville","Iron Horse Plant Sciences Farm","A Field / Between Creeks Field",,"Augusta A / Cartecey A","ms2700s08631",33.71722,-83.31133,"5/25/16","10/27/16","soybean","Conventional disc tillage","none","Fluted cone","John Deere Moisture Chek-Plus SW08120","<1",33.71736,-83.31141,33.71722,-83.31133,33.71722,-83.31068,33.71738,-83.31069,90,"07-07-2016 Field had major weed infestation. We took lawnmowers to clear out alleys and between rows. Weeds were shaded out after that, so just kept the alleys clean with Roundup applied via hooded sprayer (to prevent drift).","05-25-2016 Planter jammed and failed to plant 2 passes (plots 5,6,31,32,41,42,67,68, 77, 78, 103, and 104 in rep 1; and plots 8, 9, 34, 35, 44, 45, 70, 71, 80, and 81 in rep 2","06-01-2016 Runoff gulley washed away fertilizer in a diagonal across the field, leaving some plots stunted: Rep 1 plots 1-4, 30-36, 41-46, 60-63, 85-87, and 93-95; and rep 2 plots 17-19","Stalk lodging and root lodging were not taken due to misunderstanding the standard operating procedures","Test weight was not taken due to a miscommunication with the field manager",,
"2017","GAH2_2017","GAH2","Standard","Watkinsville","Iron Horse Plant Sciences Farm",,"GAH2","Masada A/Wickham sandy loam","8631",33.726878,-83.299077,"5/3/17","9/12/17","cotton","disc",,"fluted cone","Wintersteiger Single High Capacity GrainGauge","Based on the technitian's experience a minimum of 4 lbs is required. However the user manual says the minimum volume for accurate determination is 2 liters",33.726862,-83.297769,33.727317,-83.297691,33.727422,-83.298665,33.726979,-83.298736,270,,,,,,,
"2018","GAH2_2018","GAH2","Standard","Watkinsville","Iron Horse Plant Sciences Farm","Field A","GAH2",,"8631",33.714777,-83.30889,"4/20/18","9/19/18","soybean","standard (disk plow)",,"fluted cone","Myrris","4 or 5",33.714938,-83.309224,33.714922,-83.308706,33.716314,-83.308677,33.716263,-83.30918,0,"A late spraying damaged some of the plots along either side b/c the corn was too tall; these have been individually marked and the worst ones (>20 plants affected) set to missing for lodging and harvest data","Two large irrigation alleys go through the field. These correspond to ranges 7 & 14, which is why these are not in the fieldbook","Soil moisture sensor broke partway through the season, but realized it was a problem too late. New one purchased for next year.",,,,
"2019","GAH2_2019","GAH2","Standard","Watkinsville","Iron Horse Plant Sciences Farm","C","GAH2",,"8631",33.72056059,-83.30774042,"4/12/19","9/16/19","soybean","disked and field conditioned",,"John Deere 71 cone planter","harvest master high capacity grain gauge","3 to 4",33.721111,-83.307778,33.721111,-83.308611,33.719722,-83.308333,33.719722,-83.307778,150,,,,,,,
"2020","GAH2_2020","GAH2","Standard","Watkinsville","Iron Horse Plant Sciences Farm","F",,,"8631",33.7236676,-83.303488,"5/5/20","10/15/20","soybean",,,"fluted cone","Mirus Harvest Master",,33.723144,-83.303353,33.7239356,-83.302108,33.7237226,-83.3017214,33.72342,-83.303425,90,"""Throughout G2F field there is some regular skewness in the alleys; itis a bit  difficult to explain without walking it or seeing it from above, but  essentially it seems that each plot was planted 'short' in the direction of planting. At first I thought it was a 'tripping' error on my behalf but it is very even and throughout the field, so I consulted Wallace about it. 

Wallace and I took a look at it together on 6/17/2020 and think it may be due to how the planter/tractor was calibrated that day. We had expected the planting density to be enough to evenly
fill a plot 20 ft long (and the tractor tire marks are for 20ft long plots), but it seems that the planting  density is only enough to evenly fill about 16.5 ft of each plot. Thus  there is about a 3.5 ft gap at the 'end' of each plot, with the end  being relative to the direction we planted in.""","There is no back border on G2F; plots 1-545, 1-546, 1-547, 1-548, 1-549, 1-550 are all exposed, without a border buffer for protection.","The front border for G2F was planted in the grass; ie didn't offer a lot of protection","With the corn already dried yet late to be harvested, some late season storms came through and caused a large amount of lodging throughout the field. Unfortunately this probably coincided a bit with the weather station outage from 8/15 to 8/24.","Additional weather source available online: http://www.georgiaweather.net/?content=calculator&variable=CC&site=PENFIELD",,
"2021","GAH2_2021","GAH2","Standard","Watkinsville","Iron Horse Plant Sciences Farm","Field A","GAH2",,"8631",33.71955986,-83.30836191,"4/14/21","9/23/21","soybean","Conventional",,"fluted cone","Harvest master high capacity grain gauge","3 to 4",33.7147791,-83.3100044,33.71484299,-83.30946196,33.71608497,-83.30943038,33.71611123,-83.30998522,0,"Miscommunication with farm crew resulted in final sidedress after flowering, when plants were too tall. Three swaths of 1.5 plots wide were knocked down through the field. Height was taken on the half-plots that were still up; all other postflowering data was set to missing for these plots",,,,,,
"2019","GEH1_2019","GEH1","Standard","Gottingen","Reinshof",,"2019 G2F",,"8658",51.502178,9.936774,"5/23/19","11/20/19","wheat","a harrow 5 cm depth","2x cultivar, 10 cm and 15 cm","air planter","Nirs System",,51.501631,9.937345,51.501721,9.936647,51.503166,9.937605,51.503294,9.936852,,,,,,,,
"2020","GEH1_2020","GEH1","Standard","Gottingen","Reinshof",,,,"8658",51.495663,9.924344,,,"wheat","15cm cultivator, seedbed preperation with power harrow",,"air planter","Liebherr Litronic FMS",,51.494772,9.923347,51.494812,9.924173,51.495754,9.924023,51.495707,9.923189,,"Some of the plots weren't uniformly distributed","Local_check_#6: Rafinio (Source: KWS).","Local_check_#7: Stabil (Source: KWS).",,,,
"2021","GEH1_2021","GEH1","Standard","Gottingen","Niedernjesa","GEH1","Tim Beissinger",,"8658",51.47064,9.92645,"5/18/21","11/16/21","2019/20 wheat","15 cm deep with cultivator, Seedbed preparation with power harrow",,"air planter",,,51.470534,9.926148,51.470534,9.926711,51.470997,9.92664,51.470984,9.926104,,,,,,,,
"2014","IAH1a_2014","IAH1",,"Ames","Worle",,,,"9080",41.99653,-93.696188,,,"soybean","field cultivator",,"Air planter",,,,,,,,,,,,,,,,,,"Information for IAH1a_2014, IAH1b_2014,and IAH1c_2014"
"2015","IAH1_2015","IAH1",,"Ames",,,,,"9080",41.99762,-93.69622,,,"soybean","Field cultivator",,"SRES Air","Almaco","3",41.99825412,-93.69447028,41.99826556,-93.69227225,41.99793628,-93.69226917,41.99792483,-93.6944672,89.6,,,,,,,
"2016","IAH1_2016","IAH1","Standard","Crawfordsville","SERF","Field 14","CRW14",,"9080",41.198693,-91.486205,"4/22/16","10/1/16","soybean","field cultivator","none","air planter","Almaco","3.5",,,,,,,,,,,,,,,,
"2017","IAH1_2017","IAH1","Standard","Crawfordsville","Southeast Research Farm","13","CRW13",,"9082",41.20082,-91.49531,,,"soybean","field cultivator",,"air planter","Almaco seed spector","3.5",41.19942883,-91.49516276,41.19910071,-91.49524455,41.19906392,-91.49291949,41.1993909,-91.49276503,,,,,,,,
"2018","IAH1_2018","IAH1","Standard","Crawfordsville","Southeast Research Farm","14","CRW14",,"9082",41.198704,-91.486184,"5/8/18","10/23/18",,,,,,,,,,,,,,,,,,,,,,
"2019","IAH1_2019","IAH1","Standard","Crawfordsville","Southeast Research Farm","13","CRW13",,"9085",41.200812,-91.495272,"6/5/19","11/5/19","soybean","field cultivator","none","air planter","Almaco","4",41.1994375,-91.49519078,41.19910823,-91.49519991,41.1990749,-91.49309283,41.19940417,-91.49308368,91.2,,,,,,,
"2020","IAH1_2020","IAH1","Standard","Crawfordsville","Southeast Research Farm","14","CRW14",,"11859",41.198693,-91.486186,"5/11/20","10/19/20","soybean","soil finisher","none","air planter","Almaco seed spector","3.5",41.19863411,-91.48738002,41.1986341,-91.48796141,41.19687761,-91.48796141,41.19682273,-91.48738002,180,"6/4/2021 - fixed soil moisture and soil temperature probes; previously in wrong ports",,,,,,
"2021","IAH1_2021","IAH1","Standard","Crawfordsville","Southeast Research Farm","13","CRW13",,"m2700s11859",41.199041,-91.495209,"6/3/21","10/19/21","soybean","Field cultivator. Tillage with soil finisher",,"air planter","Almaco Seed Spector","3.5",41.19959334,-91.4951509,41.19909944,-91.4951646,41.1990661,-91.4930575,41.19956116,-91.4931165,91.2,,,,,,,
"2014","IAH2_2014","IAH2",,"Carroll",,,,,"9083",42.066206,-94.727606,,,"soybean","field cultivator",,"Air planter",,,,,,,,,,,,,,,,,,
"2016","IAH2_2016","IAH2","Standard","Carroll","Thielen","Field 6","CRL06",,"9085",42.06591034,-94.7274477,"4/25/16","10/11/16","soybean","field cultivator","none","air planter","Almaco","3.5",,,,,,,,,,"weather station rain bucket plugged when removed","wind storm causing root lodging and greensnap just before flowering",,,,,
"2017","IAH2_2017","IAH2","Standard","Carroll","Thielen","Field 8","CRL08",,"9080",42.06427,-94.72114,,,"soybean","field cultivator",,"air planter","Almaco seed spector","3.5",42.06455508,-94.72074524,42.06460553,-94.72030238,42.06712988,-94.72025685,42.06702455,-94.7207007,,,,,,,,
"2018","IAH2_2018","IAH2","Standard","Carroll","Thielen","6","CRL06",,"9080",42.06593,-94.727418,"4/29/18","10/23/18",,,,,,,,,,,,,,,,"IAH2-R3 and IAH2-R4 were nearly 100% root lodged due to a summer wind storm and were not harvestable",,,,,,
"2019","IAH2_2019","IAH2","Standard","Carroll","Thielen",,"CRL08",,"9080",42.064282,-94.721105,"4/26/19","10/21/19","soybean","field cultivator","none","air planter","Almaco","4",42.06453313,-94.72084876,42.06452944,-94.72048053,42.06716354,-94.72043302,42.06711383,-94.72094953,0.77,,,,,,,
"2021","IAH2_2021","IAH2","Standard","Carroll","Thielen","Field 08","CRL08",,"m2700s26917",42.064271,-94.721072,"5/17/21","9/28/21","soybean","Field cultivator",,"air planter","Almaco Seed spector","3.5",42.06455628,-94.7211393,42.0645502,-94.7205317,42.0671296,-94.7205036,42.0671355,-94.7210928,0.77,,,,,,,
"2014","IAH3_2014","IAH3",,"Keystone",,,,,"9085",41.98713,-92.259751,,,"soybean","No-till",,"air planter",,,,,,,,,,,,,,,,,,
"2015","IAH3_2015","IAH3",,"Keystone",,,,,"9085",41.97589,-92.24096,,,"soybean","No-till",,"SRES Air","Almaco","3",41.97577808,-92.24139608,41.97576974,-92.24447597,41.97593459,-92.24440323,41.97594273,-92.24139688,91.2,,,,,,,
"2016","IAH3_2016","IAH3","Standard","Keystone","Polhman","Field 2","KYS02",,"9082",41.987383,-92.2601563,"4/23/16","10/6/16","soybean","none","none","air planter","Almaco","3.5",,,,,,,,,,"field is continuous no-till",,,,,,
"2017","IAH3_2017","IAH3","Standard","Keystone","Polhman","Field 1","KYS01",,"9085",41.97574,-92.24096,,,"soybean","1 pass with soil finisher",,"air planter","Almaco seed spector","3.5",41.97575167,-92.24144143,41.97599864,-92.24144258,41.97598944,-92.24497298,41.97574266,-92.24489826,,,,,,,,
"2018","IAH3_2018","IAH3","Standard","Keystone","Pohlman","2","KYS02",,"11859",41.98745,-92.260145,"4/30/18","10/31/18",,,,,,,,,,,,,,,,,,,,,,
"2019","IAH3_2019","IAH3","Standard","Keystone","Pohlman",,"KYS01",,"11859",41.975792,-92.240984,"5/6/19","10/22/19","soybean","none","none","air planter","Almaco","4",41.97579183,-92.24135954,41.97606624,-92.2413589,41.97607084,-92.24488929,41.97579633,-92.2448164,270.1,,,,,,,
"2021","IAH3_2021","IAH3","Standard","Keystone","Pohlman","Field 01","KYS01",,"m2700s9082",41.975857,-92.240958,"5/26/21","10/26/21","soybean","Strip tillage",,"air planter","Almaco seed spector","3.5",41.97559974,-92.2413595,41.97605252,-92.2413585,41.9760433,-92.2448154,41.97560424,-92.2448164,269.967,,,,,,,
"2014","IAH4_2014","IAH4",,"Crawfordsville","Southeast Research Farm","14",,,"9082",41.198645,-91.486943,,,"soybean","field cultivator",,"Air planter",,,,,,,,,,,,,,,,,,
"2015","IAH4_2015","IAH4",,"Crawfordsville",,,,,"9082",41.19938,-91.49214,,,"soybean","Field cultivator",,"SRES Air","Almaco","3",41.19981657,-91.4951794,41.19976729,-91.49206415,41.1996038,-91.49214138,41.19965079,-91.49511131,269.792,,,,,,,
"2016","IAH4_2016","IAH4","Standard","Ames","Kitchen","KTC01","KTC01",,"11859",41.99750188,-93.69989887,"4/26/16","10/17/16","soybean","field cultivator","none","air planter","Almaco","3.5",,,,,,,,,,,,,,,,
"2017","IAH4_2017","IAH4","Standard","Ames","Worle","Field 1","WRL01",,"9083",41.99399,-93.68836,,,"soybean","field cultivator",,"air planter","Almaco seed spector","3.5",41.99439403,-93.68863495,41.99472332,-93.6886365,41.99471451,-93.69202079,41.99438541,-93.69194566,,,,,,,,
"2018","IAH4_2018","IAH4","Standard","Ames","Worle","2","WRL02",,"9085",41.997745,-93.696248,"5/15/18","10/29/18","soybean",,,"air planter","Almaco seed spector","3.5",,,,,,,,,,,,,,,,
"2019","IAH4_2019","IAH4","Standard","Ames","Pohl",,"PHL01",,"9082",42.03458,-93.79537,"5/31/19","10/31/19","soybean","field cultivator","none","air planter","Almaco","4",42.03217123,-93.79508048,42.03170473,-93.79508048,42.03170472,-93.79154698,42.03217122,-93.79162057,,,,,,,,
"2021","IAH4_2021","IAH4","Standard","Ames","Worle","Field 02","WRL02",,"m2700sLauterLab",41.997611,-93.696219,"5/18/21","11/4/21","soybean","Field cultivator","None","air planter","Almaco seed spector","3.5",41.99856485,-93.695864,41.99807091,-93.6958593,41.99808739,-93.6926956,41.99858094,-93.6927738,,,,,,,,
"2014","ILH1_2014","ILH1",,"Urbana","Maxwell Farms","MF500",,,"8653",40.061135,-88.233184,,,"soybean","conventional",,"air",,,,,,,,,,,,,,,,,,
"2015","ILH1_2015","ILH1",,"Urbana",,,,,"8653",40.059337,-88.234116,"5/2/15",,"soybean","Conventional",,"air planter",,,40.060306,-88.233648,40.060101,-88.234293,40.059464,-88.234293,40.059426,-88.233669,180,,,,,,,
"2016","ILH1_2016","ILH1","Standard","Champaign","Maxwell Farm","MF-500",,"Flanagan Silt Loam (154A)","8653",40.061188,-88.234042,"5/21/16","10/10/16","soybean","Chisel",,"air planter","Harvest Master",,40.061188,-88.233272,40.061188,-88.234491,40.060261,-88.234491,40.060261,-88.233272,,,,,,,,
"2017","ILH1_2017","ILH1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2018","ILH1_2018","ILH1","Standard","Champaign","Maxwell Farm","MF200","ILH1","Flanagan Silt Loam","8653",40.063415,-88.230049,"4/26/18","9/24/18","soybean","chisel",,"air planter",,,40.063426,-88.228307,40.063415,-88.230049,40.062582,-88.230049,40.062582,-88.228301,,,,,,,,
"2019","ILH1_2019","ILH1","Standard","Champaign","Maxwell Farm","MF1000","ILH1","Flanagan Silt Loam","8653",40.058299,-88.229683,"6/3/19","10/17/19","soybean","chisel",,"air planter",,,40.059138,-88.229125,40.059145,-88.230537,40.05829,-88.23056,40.058269,-88.229132,,,,,,,,
"2021","ILH1_2021","ILH1","Standard","Champaign",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014","INH1_2014","INH1",,"West Lafayette","Purdue ACRE","97/98",,,"8657",40.488,-87.006,,,"soybean","Chisel plow and field cultivator",,"Air planter",,,,,,,,,,,,,,,,,,
"2015","INH1_2015","INH1",,"West Lafayette",,,,,"8657",40.47666,-87.0004,"5/15/15","10/7/15","soybean","Field cultivate",,"vacuum planter","Harvestmaster HM 800","~10 lbs",40.47666,-87.00056,40.47667,-86.99985,40.47747,-86.99984,40.4775,-87.00057,0,,,,,,,
