"Year","Env","LabID","Date Received","Date Reported","E Depth","1:1 Soil pH","WDRF Buffer pH","1:1 S Salts mmho/cm","Texture No","Organic Matter LOI %","Nitrate-N ppm N","lbs N/A","Potassium ppm K","Sulfate-S ppm S","Calcium ppm Ca","Magnesium ppm Mg","Sodium ppm Na","CEC/Sum of Cations me/100g","%H Sat","%K Sat","%Ca Sat","%Mg Sat","%Na Sat","Mehlich P-III ppm P","% Sand","% Silt","% Clay","Texture","BpH","Zinc ppm Zn","Iron ppm Fe","Manganese ppm Mn","Copper ppm Cu","Boron ppm B","Comments"
"2017","GAH1_2017","Ward Laboratories Inc","5/8/2017","5/10/2017",12,"6.6",7.2,0.06,2,1,1.4,5,95,10.6,516,66,7,"3.4",0,7,76,16,1,123,79,11,10,"Sandy Loam",,,,,,,
"2019","GAH1_2019","Ward Laboratories Inc","8/13/19","8/15/19",12,"6.6",7.2,0.08,2,0.9,2,7,84,10.1,394,34,9,"2.5",0,9,78,11,2,121,84,7,9,"Loamy Sand",,,,,,,
"2020","GAH1_2020","Ward Laboratories Inc","12/14/20","12/16/20",6,"6.9",7.2,0.06,2,0.9,2,4,76,8.6,513,57,16,"3.3",0,6,78,14,2,137,83,11,6,"Loamy Sand",,,,,,,"Soil sampled post-season"
"2016","GAH2_2016","Ward Laboratories Inc","6/14/2016","6/16/2016",12,"5.8",6.6,0.27,2,2.7,48.2,174,70,9,823,134,7,"9.6",44,2,42,12,0,10,56,25,19,"Sandy Loam",,,,,,,
"2019","GAH2_2019","Ward Laboratories Inc","8/15/19","8/19/19",12,"5.7",6.8,0.23,2,1.2,22.4,81,71,4.2,420,53,6,"4.8",43,4,43,9,1,38,68,16,16,"Sandy Loam",,,,,,,
"2020","GAH2_2020","Ward Laboratories Inc","8/11/20","8/13/20",12,"6.3",6.7,0.35,2,2.7,48.8,176,109,25.3,613,116,9,"7.5",42,4,40,13,1,16,53,20,27,"Sandy Clay Loam",,,,,,,
"2021","GAH2_2021","Ward Laboratories Inc","05/07/2021","05/11/2021",12,"6.1",6.7,0.26,2,2.5,25.1,90,196,14.6,763,104,33,"8",34,6,47,11,2,57,49,24,27,"Sandy Clay Loam",,,,,,,
"2019","GEH1_2019","Ward Laboratories Inc","9/17/19","9/19/19",12,"6.7",7.2,0.54,2,3.4,50.3,181,265,27.8,2916,181,29,"16.9",0,4,86,9,1,89,18,44,38,"Silty Clay Loam",,,,,,,
"2020","GEH1_2020","Ward Laboratories Inc","12/3/20","12/7/20",8,"7.1",7.2,0.3,2,2.5,24.8,59,250,15,2115,130,21,"12.4",0,5,85,9,1,62,38,38,24,"Loam",,,,,,,
"2021","GEH1_2021","Ward Laboratories Inc","10/14/2021","10/18/2021",12,"7.7",7.2,0.31,2,2.2,38.1,137,224,13.4,2422,121,25,"13.8",0,4,88,7,1,75,38,43,19,"Loam",,,,,,,
"2015","IAH1_2015","UW Soil & Plant Analysis Lab",,"5/27/15",,"5.3",,,,3.2,,,118,,,,,,,,,,,34,,,,,6,,,,,,
"2016","IAH1_2016","Ward Laboratories Inc","5/17/2016","5/19/2016",12,"6.8",7.2,0.55,2,,23.5,85,215,,3788,1082,12,"28.6",0,2,66,32,0,110,,,,,,,,,,,
"2017","IAH1_2017","Ward Laboratories Inc","5/15/2017","5/17/2017",12,"6.1",6.5,0.34,2,4.8,31.2,112,149,64.5,3771,914,27,"32.4",17,1,58,24,0,23,11,45,44,"Silty Clay",,,,,,,
"2019","IAH1_2019","Ward Laboratories Inc","8/22/19","8/26/19",8,"6.3",6.6,0.2,2,5.3,12.3,30,177,9.8,3320,818,11,"27.8",14,2,59,25,0,54,18,38,44,"Clay",,,,,,,
"2020","IAH1_2020","Ward Laboratories Inc","6/24/20","6/26/20",8,"6.2",6.4,0.24,2,5.1,24,58,157,6.9,3340,763,11,"29.3",20,1,57,22,0,30,16,41,43,"Silty Clay",,,,,,,
"2021","IAH1_2021","Ward Laboratories Inc","08/10/2021","08/12/2021",8,"6.3",6.7,0.34,2,5.2,35.7,86,182,7.3,3210,754,16,"26.1",12,2,62,24,0,71,16,44,40,"Silty Clay Loam",,,,,,,
"2016","IAH2_2016","Ward Laboratories Inc","5/17/2016","5/19/2016",12,"5.9",6.8,0.31,2,,25.8,93,159,,2096,339,7,"16.1",15,3,64,18,0,42,,,,,,,,,,,
"2017","IAH2_2017","Ward Laboratories Inc","5/15/2017","5/17/2017",12,"6.2",6.5,0.26,2,3.9,36,130,99,7.5,2794,391,10,"22.2",21,1,63,15,0,26,32,32,36,"Clay Loam",,,,,,,
"2021","IAH2_2021","Ward Laboratories Inc","08/10/2021","08/12/2021",8,"5.7",6.4,0.33,2,4.3,53.3,128,284,10,2479,333,27,"21.9",27,3,56,13,1,57,40,28,32,"Clay Loam",,,,,,,
"2019","IAH2_2019","Ward Laboratories Inc","8/22/19","8/26/19",8,"5.9",6.4,0.16,2,4.7,22.1,53,281,10.7,2847,350,9,"23.6",24,3,60,12,0,58,40,28,32,"Clay Loam",,,,,,,
"2015","IAH3_2015","UW Soil & Plant Analysis Lab",,"5/27/15",,"6.5",,,,3.4,,,114,,,,,,,,,,,38,,,,,6.5,,,,,,
"2016","IAH3_2016","Ward Laboratories Inc","5/17/2016","5/19/2016",12,"6.9",7.2,0.29,2,,9.8,35,274,,3189,486,8,"20.7",0,3,77,20,0,70,,,,,,,,,,,
"2017","IAH3_2017","Ward Laboratories Inc","5/15/2017","5/17/2017",12,"6.5",6.7,0.1,2,3.7,7.4,27,102,5.2,2786,322,12,"19.8",15,1,70,14,0,23,12,48,40,"Silty Clay Loam",,,,,,,
"2021","IAH3_2021","Ward Laboratories Inc","08/10/2021","08/12/2021",8,"5.9",6.7,0.51,2,4.1,68.6,165,188,11.2,2206,273,16,"17.4",20,3,64,13,0,63,16,50,34,"Silty Clay Loam",,,,,,,
"2019","IAH3_2019","Ward Laboratories Inc","8/22/19","8/26/19",8,"6.1",6.7,0.19,2,4.1,17.5,42,186,10.5,2704,321,10,"20.1",17,2,67,13,0,45,17,47,36,"Silty Clay Loam",,,,,,,
"2015","IAH4_2015","Soil & Forage Analysis Lab",,"12/7/15",,"6.4",,,,4.4,,,95,,,,,,,,,,,42,,,,,6.4,,,,,,
"2016","IAH4_2016","Ward Laboratories Inc","5/17/2016","5/19/2016",12,"6.7",7.2,0.41,2,,39.9,144,209,,3107,225,7,"18",0,3,86,10,0,31,,,,,,,,,,,
"2017","IAH4_2017","Ward Laboratories Inc","5/15/2017","5/17/2017",12,"6.1",6.4,0.27,2,4.6,30.1,108,106,19.6,3568,569,10,"28.5",20,1,62,17,0,11,40,26,34,"Clay Loam",,,,,,,
"2021","IAH4_2021","Ward Laboratories Inc","08/10/2021","08/12/2021",8,"5.9",6.7,0.29,2,3,27.1,65,239,15.2,1819,283,34,"15.7",22,4,58,15,1,52,52,24,24,"Sandy Clay Loam",,,,,,,
"2019","IAH4_2019","Ward Laboratories Inc","8/22/19","8/26/19",8,"6.3",6.7,0.21,2,4.5,21.2,51,177,13.3,2988,289,9,"20.8",14,2,72,12,0,42,46,24,30,"Sandy Clay Loam",,,,,,,
"2016","ILH1_2016","Ward Laboratories Inc","4/27/2016","4/29/2016",12,"6",6.6,0.28,2,3.7,23.5,84,120,11,1899,378,9,"17.1",24,2,56,18,0,12,17,55,28,"Silty Clay Loam",,,,,,,
"2017","ILH1_2017","Ward Laboratories Inc","6/5/2017","6/7/2017",12,"5.9",6.6,0.31,2,3.2,45.6,164,137,4.6,1885,369,13,"16.7",23,2,56,18,0,27,16,48,36,"Silty Clay Loam",,,,,,,
"2015","INH1_2015","UW Soil & Plant Analysis Lab",,"6/2/15",,"6.1",,,,2.9,,,86,,,,,,,,,,,14,,,,,6.5,,,,,,
"2016","INH1_2016","Ward Laboratories Inc","7/11/2016","7/13/2016",12,"6",6.8,0.11,2,2.8,15.9,57,123,12,2256,665,18,"19.5",12,2,58,28,0,6,20,50,30,"Clay Loam",,,,,,,
"2018","INH1_2018","Ward Laboratories Inc","1/18/2018","1/22/2018",12,"6.9",7.2,0.18,2,2.9,11.7,42,146,10.2,3029,767,11,"22",0,2,69,29,0,27,16,44,40,"Silty Clay Loam",,,,,,,
"2019","INH1_2019","Ward Laboratories Inc","11/4/19","11/7/19",8,"6.6",7.2,0.11,2,3.1,20.2,48,171,5.8,1895,561,9,"14.6",0,3,65,32,0,14,27,50,23,"Loam",,,,,,,
"2020","INH1_2020","Ward Laboratories Inc","12/3/20","12/7/20",8,"6.6",7.2,0.19,2,2.9,27.1,65,105,6.8,1718,513,10,"13.2",0,2,65,32,0,15,29,44,27,"Loam",,,,,,,
"2021","INH1_2021","Ward Laboratories Inc","07/06/2021","07/08/2021",8,"6.9",7.2,0.26,2,3.9,23.8,57,165,6.5,2846,829,12,"21.6",0,2,66,32,0,25,25,41,34,"Clay Loam",,,,,,,
"2015","KSH1_2015","UW Soil & Plant Analysis Lab",,"5/8/15",,"6.5",,,,2.1,,,145,,,,,,,,,,,11,,,,,6.7,,,,,,
"2016","MIH1_2016","Ward Laboratories Inc","7/19/2016","7/21/2016",12,"5.7",6.7,0.19,2,3,38.7,139,181,17,1452,232,29,"12.9",24,4,56,15,1,31,54,29,17,"Sandy Loam",,,,,,,
"2018","MIH1_2018","Ward Laboratories Inc","6/1/2018","6/5/2018",12,"6.1",6.7,0.12,2,2.9,18.4,66,147,9.3,1682,308,17,"14.2",20,3,58,18,1,21,52,26,22,"Sandy Clay Loam",,,,,,,
"2019","MIH1_2019","Ward Laboratories Inc","6/13/19","6/17/19",12,"6.9",7.2,0.1,2,2.5,5.8,21,128,6.1,1938,243,10,"12.1",0,3,80,17,0,49,54,20,26,"Sandy Clay Loam",,,,,,,
"2020","MIH1_2020","Ward Laboratories Inc","6/10/20","6/12/20",12,"6.3",6.7,0.16,2,1.8,11.8,43,143,4.6,851,152,10,"8.7",32,4,49,15,0,26,63,18,19,"Sandy Loam",,,,,,,
"2021","MIH1_2021","Ward Laboratories Inc","06/08/2021","06/10/2021",12,"7",7.2,0.18,2,2.4,15.8,57,106,6.9,1584,247,19,"10.3",0,3,76,20,1,58,57,21,22,"Sandy Clay Loam",,,,,,,
"2015","MNH1_2015","UW Soil & Plant Analysis Lab",,"5/29/15",,"6.2",,,,4.2,,,109,,,,,,,,,,,19,,,,,6.5,,,,,,
"2016","MNH1_2016","Ward Laboratories Inc","5/20/2016","5/24/2016",12,"6.2",6.7,0.33,2,4.4,20.2,73,188,15,3448,723,19,"26.7",11,2,64,23,0,21,42,30,28,"Clay Loam",,,,,,,
"2017","MNH1_2017","Ward Laboratories Inc","6/1/2017","6/5/2017",12,"7.4",7.2,0.28,2,7.1,11.9,43,130,3,4997,460,12,"29.2",0,1,86,13,0,20,32,27,41,"Clay",,,,,,,
"2018","MNH1_2018","Ward Laboratories Inc","6/18/2018","6/20/2018",12,"6.5",6.8,0.41,2,4.8,26.3,95,161,7.8,3652,520,14,"24.9",7,2,73,17,0,28,39,26,35,"Clay Loam",,,,,,,
"2019","MNH1_2019","Ward Laboratories Inc","6/13/19","6/17/19",12,"6.3",6.6,0.21,2,5.2,24,87,262,9.1,3036,539,14,"24.6",17,3,62,18,0,69,40,26,34,"Clay Loam",,,,,,,
"2020","MNH1_2020","Ward Laboratories Inc","12/3/20","12/7/20",8,"6.6",7.2,0.1,2,3.4,3.7,9,200,6.6,1617,377,9,"11.8",0,4,69,27,0,54,59,19,22,"Sandy Clay Loam",,,,,,,"Soil sampled post-season"
"2015","MOH1_2015","UW Soil & Plant Analysis Lab",,"5/26/15",,"6.4",,,,2.3,,,104,,,,,,,,,,,18,,,,,6.6,,,,,,
"2016","MOH1_2016","Ward Laboratories Inc","6/15/2016","6/17/2016",12,"6.7",7.2,0.33,2,2.2,36.6,132,150,9,2438,245,25,"14.7",0,3,82,14,1,35,21,56,23,"Silt Loam",,,,,,,
"2017","MOH1_2017","Ward Laboratories Inc","6/6/2017","6/8/2017",12,"6.4",6.9,0.4,2,1.9,21.4,77,130,3.6,1987,267,22,"13.3",5,3,74,17,1,31,10,63,27,"Silt Loam",,,,,,,
"2018","MOH1_1_2018","Ward Laboratories Inc","7/24/2018","7/26/2018",12,"6.8",7.2,0.2,2,2.6,26.2,94,99,5.2,1800,235,20,"11.3",0,2,80,17,1,15,31,41,28,"Clay Loam",,,,,,,
"2018","MOH1_2_2018","Ward Laboratories Inc","7/24/2018","7/26/2018",12,"7.1",7.2,0.22,2,2.9,18,65,97,8.8,2162,336,26,"14",0,2,77,20,1,19,25,45,30,"Clay Loam",,,,,,,
"2020","MOH1_2_2020","Ward Laboratories Inc","9/16/20","9/18/20",12,"6.1",6.9,0.36,2,2.4,54.9,198,100,4.75,1750,208,21,"11.7",7,2,75,15,1,21,19,67,14,"Silt Loam",,,,,,,
"2019","MOH1_2019","Ward Laboratories Inc","8/14/19","8/16/19",12,"7",7.2,0.28,2,3,38.2,138,143,3.4,2529,381,26,"16.3",0,2,78,19,1,25,19,51,30,"Silty Clay Loam",,,,,,,
"2016","NCH1_2016","Ward Laboratories Inc","6/10/2016","6/14/2016",12,"5.5",6.6,0.38,2,2.3,46,166,209,23,618,112,47,"9",47,6,34,10,2,138,70,22,8,"Sandy Loam",,,,,,,
"2017","NCH1_2017","Ward Laboratories Inc","11/15/2017","11/20/2017",12,"5.4",6,0.16,2,3.4,17.2,62,189,14.9,641,127,16,"15.1",68,3,21,7,0,66,63,15,22,"Sandy Clay Loam",,,,,,,
"2018","NCH1_2018","Ward Laboratories Inc","5/30/2018","6/1/2018",12,"5.6",6.8,0.12,2,1.3,16.9,61,141,7.6,218,66,6,"3.8",47,9,28,14,1,56,72,9,19,"Sandy Loam",,,,,,,
"2020","NCH1_2020","Ward Laboratories Inc","2/5/21","2/9/21",8,"5.5",6.5,0.25,2,2,27.8,67,182,30.3,501,84,18,"8.5",56,6,29,8,1,53,70,19,11,"Sandy Loam",,,,,,,
"2021","NCH1_2021","Ward Laboratories Inc","12/06/2021","12/08/2021",12,"6.15",6.75,0.165,2,1.2,9.05,33,87.5,9.65,479,59.5,5.5,"5.4",41.5,4.5,44.5,9.5,0,62.5,73,20,7,"Sandy Loam",,,,,,,
"2019","NEH1_2019","Ward Laboratories Inc","9/13/19","9/17/19",8,"6.5",6.9,0.1,2,2.2,22.3,53,585,6.2,2285,358,9,"16.9",6,9,67,18,0,24,46,24,30,"Sandy Clay Loam",,,,,,,
"2020","NEH1_2020","Ward Laboratories Inc","6/5/20","6/9/20",12,"5.3",6.3,0.45,2,3.9,49.5,178,419,12.1,1885,265,9,"19.7",35,5,48,11,0,9,22,50,28,"Clay Loam",,,,,,,
"2021","NEH1_2021","Ward Laboratories Inc","08/31/2021","09/02/2021",12,"6",6.8,0.26,2,3.3,27.9,100,172,13.6,1443,232,15,"11.4",15,4,63,17,1,46,25,53,22,"Silt Loam",,,,,,,
"2015","NEH2_2015","UW Soil & Plant Analysis Lab",,"7/7/15",,"5.8",,,,1.6,,,330,,,,,,,,,,,40,,,,,6.4,,,,,,
"2019","NEH2_2019","Ward Laboratories Inc","9/13/19","9/17/19",8,"6.8",7.2,0.22,2,2.7,49.4,119,702,5.7,2506,332,16,"17.2",0,10,73,16,0,40,45,27,28,"Sandy Clay Loam",,,,,,,
"2021","NEH2_2021","Ward Laboratories Inc","08/31/2021","09/02/2021",12,"5.8",6.8,0.26,2,3,28.9,104,147,4.7,1391,223,13,"11.2",17,3,62,17,1,42,25,53,22,"Silt Loam",,,,,,,"Results referent to NEH2_2021 and NEH3_2021"
"2015","NEH3_2015","UW Soil & Plant Analysis Lab",,"4/23/15",,"6.4",,,,2,,,455,,,,,,,,,,,27,,,,,6.9,,,,,,
"2017","NEH3_2017","Ward Laboratories Inc","6/22/2017","6/26/2017",12,"6.6",7.2,0.17,2,2.7,23.1,83,690,6.6,1615,287,10,"12.3",0,14,66,19,0,64,35,37,28,"Clay Loam",,,,,,,
"2017","NEH4_2017","Ward Laboratories Inc","6/22/2017","6/26/2017",12,"5.6",6.7,0.14,2,2.4,25.7,93,529,4.8,1459,244,10,"14.2",25,10,51,14,0,32,49,23,28,"Sandy Clay Loam",,,,,,,
"2017","NYH1_2017","Ward Laboratories Inc","5/24/2017","5/26/2017",12,"8",7.2,0.13,2,3.2,5.7,20,57,8.2,2223,238,8,"13.3",0,1,84,15,0,19,40,33,27,"Loam",,,,,,,
"2019","NYH1_2019","Ward Laboratories Inc","10/4/19","10/8/19",12,"7.7",7.2,0.2,2,2.4,13.3,48,65,12.4,1546,204,9,"9.6",0,2,80,18,0,34,50,24,26,"Sandy Clay Loam",,,,,,,
"2015","NYH2_2015","UW Soil & Plant Analysis Lab",,"6/5/15",,"7.6",,,,2.5,,,39,,,,,,,,,,,13,,,,,,,,,,,
"2016","NYH2_2016","Ward Laboratories Inc","5/20/2016","5/24/2016",12,"7.3",7.2,0.44,2,3.1,40.5,146,76,12,1932,290,26,"12.4",0,2,78,19,1,58,43,36,21,"Loam",,,,,,,
"2017","NYH2_2017","Ward Laboratories Inc","5/26/2017","5/31/2017",12,"7.8",7.2,0.25,2,3.2,21.4,77,53,7.2,2549,264,14,"15.1",0,1,84,15,0,13,35,35,30,"Clay Loam",,,,,,,
"2018","NYH2_2018","Ward Laboratories Inc","6/12/2018","6/14/2018",12,"7.1",7.2,0.2,2,3.2,22.7,82,59,4.7,1363,274,15,"9.3",0,2,73,24,1,21,50,26,24,"Sandy Clay Loam",,,,,,,
"2019","NYH2_2019","Ward Laboratories Inc","6/20/19","6/24/19",12,"7.8",7.2,0.34,2,3.6,31.8,115,75,7.7,2306,271,10,"14",0,1,82,16,0,10,48,24,28,"Sandy Clay Loam",,,,,,,
"2020","NYH2_2020","Ward Laboratories Inc","7/6/20","7/8/20",12,"8.07",7.2,0.24,2,3.8,14.9,54,48,13.3,2215,200,13,"12.93",0,1,86,13,0,9,44,31,24,"Loam",,,,,,,
"2021","NYH2_2021","Ward Laboratories Inc","07/12/2021","07/14/2021",12,"8",7.2,0.18,2,3.1,8.1,29,53,10,1739,212,18,"10.7",0,1,81,17,1,8,49,29,22,"Loam",,,,,,,
"2015","NYH3_2015","UW Soil & Plant Analysis Lab",,"6/5/15",,"7.8",,,,2.4,,,49,,,,,,,,,,,21,,,,,,,,,,,
"2017","NYH3_2017","Ward Laboratories Inc","5/26/2017","5/31/2017",12,"7.9",7.2,0.22,2,3.1,12.7,46,55,6.9,2431,240,13,"14.4",0,1,85,14,0,13,38,34,28,"Clay Loam",,,,,,,
"2018","NYH3_2018","Ward Laboratories Inc","6/12/2018","6/14/2018",12,"7.7",7.2,0.17,2,3.6,17.1,62,57,3.8,1702,313,16,"11.3",0,1,75,23,1,23,44,24,32,"Clay Loam",,,,,,,
"2019","NYH3_2019","Ward Laboratories Inc","6/20/19","6/24/19",12,"7.7",7.2,0.23,2,3.6,15.3,55,55,8.2,2349,261,8,"14.1",0,1,83,15,0,8,48,26,26,"Sandy Clay Loam",,,,,,,
"2020","NYH3_2020","Ward Laboratories Inc","7/6/20","7/8/20",12,"7.9",7.2,0.22,2,3.1,17.2,62,50,10,1955,212,11,"11.73",0,1,83,15,0,9,45,30,25,"Loam",,,,,,,
"2021","NYH3_2021","Ward Laboratories Inc","07/12/2021","07/14/2021",12,"7.6",7.2,0.21,2,3.5,14.9,54,63,13,2000,245,20,"12.3",0,1,81,17,1,13,47,29,24,"Loam",,,,,,,
"2020","NYS1_2020","Ward Laboratories Inc","7/6/20","7/8/20",12,"8",7.2,0.25,2,3.8,15.2,55,59,10.8,2108,230,12,"12.7",0,1,83,15,0,9,43,32,25,"Loam",,,,,,,
"2021","NYS1_2021","Ward Laboratories Inc","07/12/2021","07/14/2021",12,"8.1",7.2,0.17,2,4.2,8.5,31,61,14.3,2336,219,16,"13.7",0,1,85,13,1,18,45,31,24,"Loam",,,,,,,
"2016","OHH1_2016","Ward Laboratories Inc","7/8/2016","7/12/2016",12,"5.4",6.5,0.23,2,3.7,13.9,50,165,18,2370,528,7,"21.4",22,2,55,21,0,28,23,46,31,"Clay Loam",,,,,,,
"2017","OHH1_2017","Ward Laboratories Inc","8/29/2017","8/31/2017",12,"6.2",6.5,0.19,2,4.2,16.2,58,193,12.1,3251,727,15,"28",18,2,58,22,0,53,15,39,46,"Clay",,,,,,,
"2019","OHH1_2019","Ward Laboratories Inc","8/22/19","8/26/19",6,"6.6",7.2,0.41,2,5,30.9,56,163,16.6,3007,687,7,"21.2",0,2,71,27,0,43,26,32,42,"Clay",,,,,,,
"2020","OHH1_2020","Ward Laboratories Inc","12/18/20","12/22/20",8,"6.4",6.8,0.21,2,4.3,5.6,13,187,10,3069,773,33,"24.5",9,2,62,26,1,32,29,36,35,"Clay Loam",,,,,,,
"2016","ONH1_2016","Ward Laboratories Inc","6/6/2016","6/8/2016",12,"7.2",7.2,0.25,2,2.8,34.8,125,162,10,1564,224,4,"10.1",0,4,77,18,0,98,43,43,14,"Loam",,,,,,,
"2017","ONH2_2017","Ward Laboratories Inc","9/27/2017","9/29/2017",12,"6.7",7.2,0.25,2,4.5,43.5,157,83,16.2,2529,150,20,"14.2",0,2,88,9,1,19,12,60,28,"Silty Clay Loam",,,,,,,
"2019","SCH1_2019","Ward Laboratories Inc","8/16/19","8/20/19",12,"6.7",7.2,0.3,2,2.8,54.4,196,129,13.6,701,169,9,"5.3",0,6,66,27,1,65,64,12,24,"Sandy Clay Loam",,,,,,,
"2020","SCH1_2020","Ward Laboratories Inc","12/4/20","12/8/20",12,"6.4",6.8,0.14,2,4.17,7.39,26.4,106,11.6,453,96.7,12.4,"5.8",40,5,40,14.3,1,50,68,15,17,"Sandy Loam",,,,,,,"Soil sampled post-season"
"2021","SCH1_2021","Ward Laboratories Inc","06/04/2021","06/08/2021",8,"6.25",6.7,0.096,2,2.76,5.93,14.2,112.3,8.41,905,98.9,11.8,"8.96",42.3,3.6,42.9,10.2,0.9,103.1,66,17.1,16.9,"Sandy Loam",,,,,,,
"2015","SDH1_2015","UW Soil & Plant Analysis Lab",,"5/28/15",,"6.5",,,,3,,,316,,,,,,,,,,,26,,,,,6.6,,,,,,
"2016","TXH1_2016","Ward Laboratories Inc","2/1/2016","2/11/2016",12,"7.9",,,2,,5,,341,9,6679,267,17,,,,,,,43,,,,,,0.48,9.69,2.99,0.68,0.4,
"2019","TXH1_2019","Ward Laboratories Inc","9/24/19","9/26/19",12,"8.3",7.2,0.12,2,0.6,20.6,74,91,20.2,4268,161,23,"23",0,1,93,6,0,5,40,38,22,"Loam",,,,,,,
"2020","TXH1_2020","Ward Laboratories Inc","10/9/20","10/13/20",12,"8.1",7.2,0.21,2,1.6,2.9,11,285,7.7,4462,254,17,"25.2",0,3,88,8,0,39,24,51,25,"Silt Loam",,,,,,,
"2021","TXH1_2021","Ward Laboratories Inc","03/02/2022","03/04/2022",12,"7.9",7.2,0.52,2,2,16.5,59,322,13.9,6213,366,82,"35.3",0,2,88,9,1,16,21,32,47,"Clay",,,,,,,
"2016","TXH2_2016","Ward Laboratories Inc","3/15/2016","3/29/2016",12,"7.5",,,2,,8,,422,8,1948,599,38,,,,,,,35,,,,,,,,,,,
"2019","TXH2_2019","Ward Laboratories Inc","9/24/19","9/26/19",12,"8.4",7.2,0.13,2,1.1,15.8,57,172,6.2,5476,230,23,"29.8",0,1,92,6,0,11,38,34,28,"Clay Loam",,,,,,,
"2020","TXH2_2020","Ward Laboratories Inc","10/9/20","10/13/20",12,"8",7.2,0.41,2,2.8,8.8,32,538,10.6,6179,389,47,"35.7",0,4,86,9,1,37,16,33,51,"Clay",,,,,,,
"2021","TXH2_2021","Ward Laboratories Inc","03/02/2022","03/04/2022",12,"7.8",7.2,0.64,2,2.1,14.5,52,311,13.4,5991,354,81,"34.1",0,2,88,9,1,15,16,40,44,"Clay",,,,,,,
"2019","TXH3_2019","Ward Laboratories Inc","9/24/19","9/26/19",12,"8.3",7.2,0.14,2,1.1,13.7,49,162,8.2,5338,218,19,"29",0,1,92,6,0,12,34,32,34,"Clay Loam",,,,,,,
"2020","TXH3_2020","Ward Laboratories Inc","10/9/20","10/13/20",12,"7.9",7.2,0.37,2,2,6.2,22,340,11.2,5231,324,53,"30",0,3,87,9,1,29,19,48,33,"Silty Clay Loam",,,,,,,
"2021","TXH3_2021","Ward Laboratories Inc","03/02/2022","03/04/2022",12,"8",7.2,0.76,2,2.6,20.9,75,411,16.5,7251,499,143,"42.1",0,3,86,10,1,14,8,26,66,"Clay",,,,,,,
"2019","WIH1_2019","Ward Laboratories Inc","8/1/19","8/5/19",12,"7.4",7.2,0.13,2,4.9,14.6,53,322,4.7,2140,518,9,"15.9",0,5,67,27,0,130,16,52,32,"Silty Clay Loam",,,,,,,
"2021","WIH1_2021","Ward Laboratories Inc","06/04/2021","06/08/2021",8,"6.4",6.7,0.46,2,5.1,71.1,171,316,9.6,2043,522,18,"18.4",16,4,56,24,0,132,18,54,28,"Silty Clay Loam",,,,,,,
